name,Stars,Benchs,RETU,LOOP,FINA,INVO,FORK
gs-collections,1652,451.0,47.0,,,,
logging-log4j2,256,346.0,5.0,7.0,5.0,,
RxJava,23558,215.0,,,,,
oopsla15-artifact,16,213.0,4.0,1.0,2.0,12.0,3.0
netty,9746,159.0,2.0,14.0,2.0,2.0,
reactive-streams-commons,106,157.0,2.0,,,,
druid,4743,148.0,,8.0,2.0,2.0,
JCTools,1053,92.0,,1.0,,2.0,
golo-jmh-benchmarks,4,92.0,,,,,
zipkin,5627,74.0,,,,,
microbenchmarks,7,67.0,,17.0,5.0,,
xodus,248,66.0,,7.0,,18.0,
lab-java8streamperformancebenchmark,4,64.0,,6.0,,,
mini2Dx,137,55.0,,,,,
fast-select,3,48.0,,,,,
jenetics,183,47.0,,8.0,1.0,,
rtree,482,42.0,,,,,
byte-buddy,1495,39.0,,,,,
caffeine,2414,38.0,1.0,,,,
pgjdbc,322,35.0,,,,,2.0
java-final-benchmark,10,34.0,,,,,
streamalg,15,34.0,,4.0,,,
pinot,1475,31.0,,16.0,,,
cache2k-benchmark,12,28.0,,,1.0,,
template-compiler,12,27.0,,,,,
viktor,4,27.0,,6.0,,,
prairie,4,23.0,,,,32.0,
fast-rng-java,4,21.0,,,,,
entity-system-benchmarks,15,20.0,,,,,
okio,3703,19.0,,,,1.0,
jmh-samples,48,19.0,,5.0,6.0,,
PRNG-Performance,6,18.0,,,,,
safepoint-experiments,5,18.0,1.0,11.0,,,
hasher,2,18.0,,,,,
h2o-3,1943,18.0,,6.0,,12.0,
xstream,214,18.0,,,,,
java-benchmarks,2,17.0,,9.0,,,
javaslang-circuitbreaker,224,17.0,,,,,
disruptor_benchmark,3,16.0,,,,,
yauaa,26,15.0,,,,,
benchmark-arraycopy,2,14.0,,,,,2.0
flatbuffers-java-benchmark,2,13.0,,,,,
memcached-java-clients-benchmark,3,12.0,,,,,
blynk-server,569,12.0,,,,,
bloomfilter,2,11.0,,,,,
rxjava2-extras,19,10.0,,,,,
zipkin-reporter-java,19,10.0,,,,,
sandbox-query-benchmark-jooq-hibernate-jdbc,6,10.0,,,,,
sqlg,78,10.0,2.0,,,,
dispatching,3,9.0,,,,,
bucket4j,94,9.0,,,,,
java-eid-exceptions,5,9.0,,,,,
compactmap,10,9.0,,,,,
test-data-generator,6,9.0,,,,,
template-benchmark,57,8.0,,,,,
ohc,175,8.0,,,,,
Trident,64,8.0,,,,,
jvptree,11,8.0,,,,,
cryptolib,14,8.0,,,,1.0,
graph_processing,26,7.0,,,,,
moar,8,7.0,,,,,
invokedynamic-talk-code,4,7.0,,,,,
reactivesocket-java,147,7.0,,,,,
parity,62,7.0,,,,,
expire-threadlocal,2,6.0,5.0,,,,
cqrs-hotel,9,6.0,,,,,
airlift,195,6.0,,,,,
stringbench,5,6.0,,,,,
notification,34,6.0,,,,,
silverflash,11,6.0,,,3.0,,
stagemonitor,929,6.0,,,,,
sulky,11,6.0,,,,,
risky,3,5.0,,,,,
parallelism-benchmarks,9,5.0,,,,,
rut,9,5.0,,,,,
glowroot,184,5.0,1.0,,,,
hppc,373,5.0,,,,,
to-array-benchmark,3,4.0,,,,,
pcg-java,5,4.0,,,,,
entity-essentials,2,4.0,,,,,
commonmark-java,385,4.0,,,,,
false-sharing-demo,4,4.0,,,,,
gorilla-tsc,21,4.0,,,,,
json-avro-converter,22,4.0,,,,,
motif,130,4.0,,,,,
es4j,352,4.0,,,,,
completable-futures,47,4.0,,,,,
unsafe,36,4.0,,,,,
siv-mode,7,3.0,,,,,
neo4j-jdbc,6,3.0,,,,,
grpc-java,2631,3.0,,,,,
FieldMagic,16,3.0,,,,,
bpm,5,3.0,,,,,
jvm-unsafe-utils,33,3.0,1.0,,,,
aircompressor,70,2.0,,,,,
collections-m0e4,3,2.0,,,,,
vertx-http-router,4,2.0,,,,,
SparkJNI,7,2.0,,,,,
directory-kerby,24,2.0,,,,,
rapidpm-microservice,4,2.0,,,,,
java,623,2.0,,,,,
westcache,6,2.0,,,,,
pushy,603,2.0,,,,,
geo,182,2.0,2.0,,,,
jmh-utils,5,2.0,,,,,
hpack,135,2.0,,,,,
rest-schemagen,11,2.0,2.0,,,,
TridentSDK,49,1.0,,,,,
jbender,95,1.0,1.0,,,,
handlers,2,1.0,,,,,
gumtree,90,1.0,,,,,
autolink-java,56,1.0,,,,,
injector,53,1.0,,,,,
rxjava-extras,202,1.0,,,,,
less-compiler,6,1.0,,,,,
uploader,4,1.0,,,,,
hashmapTest,44,1.0,,,,,
fixio,43,1.0,,,,1.0,
idea-gradle-dependencies-formatter,18,1.0,,,,,
apollo,1023,1.0,,,,,
audio-recognition,4,1.0,1.0,,,,
paleo,29,1.0,,,,,
reveno,147,1.0,,,,,
