Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Factor,Fixed,Original
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = none)",0,9.727895595,29.816,3.065
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",0,5.146262189,23.75,4.615
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",0,5.12284153,23.437,4.575
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfLow, strategy = none)",0,5.09790539,21.661,4.249
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = uniform, strategy = none)",0,5.095977417,21.663,4.251
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",0,5.085466377,23.444,4.61
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",0,5.079991329,23.434,4.613
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",0,5.069701897,23.384,4.6125
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",0,5.003178714,21.2485,4.247
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = sequential, strategy = none)",0,5.001412097,21.251,4.249
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = enumerate, strategy = none)",0,4.995059986,21.234,4.251
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = auto, strategy = none)",0,4.391193956,35.4545,8.074
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = auto, strategy = none)",0,4.113649958,34.386,8.359
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = none)",0,3.139046212,38.243,12.183
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = auto, strategy = none)",0,3.138717886,38.239,12.183
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = uniform, strategy = lz4)",0,2.026707106,24.056,11.8695
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",0,1.937270526,24.799,12.801
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = sequential, strategy = lz4)",0,1.882654181,25.734,13.669
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",0,1.810232558,27.244,15.05
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",0,1.614243323,31.552,19.546
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",0,1.585324124,25.018,15.781
