"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,5.530372,0.060660,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.468848,0.083459,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.756790,0.006890,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.482003,0.021096,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.546157,0.034908,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.263552,0.060260,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.186448,0.011501,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.927869,0.003760,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.938272,0.022449,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.935047,0.025555,"ops/s",false,100000
