"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,16.762275,0.143352,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.578519,0.043650,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.151690,0.090876,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.264885,0.038129,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.562953,0.066042,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.612945,0.391075,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,6.588011,0.076740,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,3.672310,0.191235,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.729398,0.016471,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.718175,0.019241,"ops/s",false,100000
