# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded
# Parameters: (megamorphicWarmupLevel = 0)

# Run progress: 0.00% complete, ETA 00:08:00
# Fork: 1 of 2
# Warmup Iteration   1: 47.933 ops/s
# Warmup Iteration   2: 56.220 ops/s
# Warmup Iteration   3: 59.788 ops/s
# Warmup Iteration   4: 61.394 ops/s
# Warmup Iteration   5: 61.368 ops/s
# Warmup Iteration   6: 61.692 ops/s
# Warmup Iteration   7: 61.990 ops/s
# Warmup Iteration   8: 61.478 ops/s
# Warmup Iteration   9: 61.696 ops/s
# Warmup Iteration  10: 60.325 ops/s
# Warmup Iteration  11: 61.679 ops/s
# Warmup Iteration  12: 60.611 ops/s
# Warmup Iteration  13: 61.327 ops/s
# Warmup Iteration  14: 61.146 ops/s
# Warmup Iteration  15: 61.373 ops/s
# Warmup Iteration  16: 61.121 ops/s
# Warmup Iteration  17: 61.474 ops/s
# Warmup Iteration  18: 60.989 ops/s
# Warmup Iteration  19: 61.057 ops/s
# Warmup Iteration  20: 61.108 ops/s
Iteration   1: 60.868 ops/s
Iteration   2: 61.364 ops/s
Iteration   3: 61.102 ops/s
Iteration   4: 61.311 ops/s
Iteration   5: 61.628 ops/s
Iteration   6: 61.186 ops/s
Iteration   7: 61.732 ops/s
Iteration   8: 61.630 ops/s
Iteration   9: 61.665 ops/s
Iteration  10: 62.022 ops/s

# Run progress: 12.50% complete, ETA 00:07:06
# Fork: 2 of 2
# Warmup Iteration   1: 47.163 ops/s
# Warmup Iteration   2: 54.357 ops/s
# Warmup Iteration   3: 57.294 ops/s
# Warmup Iteration   4: 59.690 ops/s
# Warmup Iteration   5: 60.739 ops/s
# Warmup Iteration   6: 59.615 ops/s
# Warmup Iteration   7: 60.129 ops/s
# Warmup Iteration   8: 60.187 ops/s
# Warmup Iteration   9: 60.883 ops/s
# Warmup Iteration  10: 59.829 ops/s
# Warmup Iteration  11: 60.183 ops/s
# Warmup Iteration  12: 60.356 ops/s
# Warmup Iteration  13: 60.323 ops/s
# Warmup Iteration  14: 60.271 ops/s
# Warmup Iteration  15: 60.249 ops/s
# Warmup Iteration  16: 59.928 ops/s
# Warmup Iteration  17: 59.974 ops/s
# Warmup Iteration  18: 60.472 ops/s
# Warmup Iteration  19: 60.217 ops/s
# Warmup Iteration  20: 60.203 ops/s
Iteration   1: 59.743 ops/s
Iteration   2: 60.315 ops/s
Iteration   3: 60.459 ops/s
Iteration   4: 59.655 ops/s
Iteration   5: 59.926 ops/s
