# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala
# Parameters: (megamorphicWarmupLevel = 0)

# Run progress: 0.00% complete, ETA 00:16:00
# Fork: 1 of 2
# Warmup Iteration   1: 24.710 ops/s
# Warmup Iteration   2: 34.922 ops/s
# Warmup Iteration   3: 36.718 ops/s
# Warmup Iteration   4: 38.561 ops/s
# Warmup Iteration   5: 37.741 ops/s
# Warmup Iteration   6: 38.654 ops/s
# Warmup Iteration   7: 38.822 ops/s
# Warmup Iteration   8: 38.639 ops/s
# Warmup Iteration   9: 38.266 ops/s
# Warmup Iteration  10: 38.450 ops/s
# Warmup Iteration  11: 38.206 ops/s
# Warmup Iteration  12: 38.219 ops/s
# Warmup Iteration  13: 38.961 ops/s
# Warmup Iteration  14: 38.285 ops/s
# Warmup Iteration  15: 38.303 ops/s
# Warmup Iteration  16: 38.342 ops/s
# Warmup Iteration  17: 38.484 ops/s
# Warmup Iteration  18: 38.239 ops/s
# Warmup Iteration  19: 38.687 ops/s
# Warmup Iteration  20: 38.124 ops/s
Iteration   1: 38.279 ops/s
Iteration   2: 38.724 ops/s
Iteration   3: 38.188 ops/s
Iteration   4: 38.355 ops/s
Iteration   5: 38.444 ops/s
Iteration   6: 38.486 ops/s
Iteration   7: 38.177 ops/s
Iteration   8: 38.849 ops/s
Iteration   9: 38.093 ops/s
Iteration  10: 38.244 ops/s

# Run progress: 6.25% complete, ETA 00:15:17
# Fork: 2 of 2
# Warmup Iteration   1: 27.656 ops/s
# Warmup Iteration   2: 35.675 ops/s
# Warmup Iteration   3: 36.963 ops/s
# Warmup Iteration   4: 37.976 ops/s
# Warmup Iteration   5: 39.071 ops/s
# Warmup Iteration   6: 37.690 ops/s
# Warmup Iteration   7: 38.567 ops/s
# Warmup Iteration   8: 38.628 ops/s
# Warmup Iteration   9: 38.514 ops/s
# Warmup Iteration  10: 38.114 ops/s
# Warmup Iteration  11: 38.519 ops/s
# Warmup Iteration  12: 38.151 ops/s
# Warmup Iteration  13: 38.716 ops/s
# Warmup Iteration  14: 38.964 ops/s
# Warmup Iteration  15: 38.594 ops/s
# Warmup Iteration  16: 37.918 ops/s
# Warmup Iteration  17: 38.742 ops/s
# Warmup Iteration  18: 37.781 ops/s
# Warmup Iteration  19: 38.213 ops/s
# Warmup Iteration  20: 38.628 ops/s
Iteration   1: 38.387 ops/s
Iteration   2: 38.679 ops/s
Iteration   3: 39.176 ops/s
Iteration   4: 38.637 ops/s
Iteration   5: 38.985 ops/s
