,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,1,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,6.776,1,2,1
1,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,2,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,10.575,1,2,1
2,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,3,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,7.946,1,2,1
3,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,4,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,13.750,1,2,1
4,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,5,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.140,1,2,1
5,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,6,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.063,1,2,1
6,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,7,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.149,1,2,1
7,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,8,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.268,1,2,1
8,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,9,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.003,1,2,1
9,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,10,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.413,1,2,1
10,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,11,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.240,1,2,1
11,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,12,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.310,1,2,1
12,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,13,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.326,1,2,1
13,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,14,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.210,1,2,1
14,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,15,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.461,1,2,1
15,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,16,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.304,1,2,1
16,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,17,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.491,1,2,1
17,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,18,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.320,1,2,1
18,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,19,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.196,1,2,1
19,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_scala,,20,warmup,ops/s,groupBy_10000_keys_parallel_lazy_scala, com.gs.collections.impl.jmh,14.369,1,2,1
