,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,1,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,6.862,1,2,1
1,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,2,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.404,1,2,1
2,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,3,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.937,1,2,1
3,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,4,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,10.511,1,2,1
4,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,5,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.732,1,2,1
5,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,6,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.457,1,2,1
6,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,7,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.215,1,2,1
7,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,8,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,8.876,1,2,1
8,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,9,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.366,1,2,1
9,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,10,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.463,1,2,1
10,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,11,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,9.997,1,2,1
11,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,12,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,10.730,1,2,1
12,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,13,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.968,1,2,1
13,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,14,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,11.098,1,2,1
14,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,15,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,10.612,1,2,1
15,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,16,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.298,1,2,1
16,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,17,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,10.773,1,2,1
17,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,18,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.022,1,2,1
18,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,19,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.502,1,2,1
19,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,20,warmup,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.486,1,2,1
20,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_serial_eager_scala,,1,measured,ops/s,groupBy_2_keys_serial_eager_scala, com.gs.collections.impl.jmh,12.527,1,2,1
