,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,103.036,1,5,1
1,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.907,1,5,1
2,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.960,1,5,1
3,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.145,1,5,1
4,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.278,1,5,1
5,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.334,1,5,1
6,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.263,1,5,1
7,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.215,1,5,1
8,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.491,1,5,1
9,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,107.394,1,5,1
10,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,99.319,1,5,1
11,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.420,1,5,1
12,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.381,1,5,1
13,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.839,1,5,1
14,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.800,1,5,1
15,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.654,1,5,1
16,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.624,1,5,1
17,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.720,1,5,1
18,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.784,1,5,1
19,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.749,1,5,1
20,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,101.737,1,5,1
21,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.989,1,5,1
22,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.100,1,5,1
23,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.301,1,5,1
24,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.567,1,5,1
25,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.625,1,5,1
