,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,269.436,1,5,1
1,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.272,1,5,1
2,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.441,1,5,1
3,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.833,1,5,1
4,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.476,1,5,1
5,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.431,1,5,1
6,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.122,1,5,1
7,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.411,1,5,1
8,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.838,1,5,1
9,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.081,1,5,1
10,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,275.728,1,5,1
11,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,304.028,1,5,1
12,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.635,1,5,1
13,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.162,1,5,1
14,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.050,1,5,1
15,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.547,1,5,1
16,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.158,1,5,1
17,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.970,1,5,1
18,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.506,1,5,1
19,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.148,1,5,1
20,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,271.542,1,5,1
21,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,304.414,1,5,1
22,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.092,1,5,1
23,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.276,1,5,1
24,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.201,1,5,1
25,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,299.494,1,5,1
26,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.737,1,5,1
27,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,300.901,1,5,1
28,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.203,1,5,1
29,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.945,1,5,1
30,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,276.010,1,5,1
31,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,304.307,1,5,1
32,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.825,1,5,1
33,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.944,1,5,1
34,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.014,1,5,1
35,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.304,1,5,1
36,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.738,1,5,1
37,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.275,1,5,1
38,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.212,1,5,1
39,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.338,1,5,1
40,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,275.151,1,5,1
41,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.781,1,5,1
42,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.713,1,5,1
43,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.009,1,5,1
44,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.545,1,5,1
45,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.250,1,5,1
46,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.675,1,5,1
47,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.510,1,5,1
48,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.717,1,5,1
49,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.048,1,5,1
50,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,152.363,1,5,1
51,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,160.681,1,5,1
52,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,164.181,1,5,1
53,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,133.513,1,5,1
54,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.148,1,5,1
55,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.341,1,5,1
56,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.586,1,5,1
57,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.444,1,5,1
58,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.227,1,5,1
59,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.300,1,5,1
60,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,150.620,1,5,1
61,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,164.301,1,5,1
62,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,164.721,1,5,1
63,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,133.861,1,5,1
64,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.397,1,5,1
65,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.609,1,5,1
66,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.661,1,5,1
67,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.519,1,5,1
68,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.176,1,5,1
69,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.660,1,5,1
70,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,153.521,1,5,1
71,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,164.118,1,5,1
72,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,160.521,1,5,1
73,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,130.389,1,5,1
74,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,114.943,1,5,1
75,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.480,1,5,1
76,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.263,1,5,1
77,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,115.993,1,5,1
78,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.552,1,5,1
79,"Throughput, ops/time",FlatCollectTest,3.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.318,1,5,1
80,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,153.516,1,5,1
81,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,162.276,1,5,1
82,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,156.571,1,5,1
83,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,135.395,1,5,1
84,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,115.751,1,5,1
85,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.277,1,5,1
86,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.192,1,5,1
87,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.161,1,5,1
88,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,116.343,1,5,1
89,"Throughput, ops/time",FlatCollectTest,4.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,5,measured,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,115.966,1,5,1
90,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,1,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,169.208,1,5,1
91,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,2,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,165.309,1,5,1
92,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,3,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,164.806,1,5,1
93,"Throughput, ops/time",FlatCollectTest,5.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_lazy_gsc,,4,warmup,ops/s,serial_lazy_gsc, com.gs.collections.impl.jmh,127.517,1,5,1
