# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala
# Parameters: (megamorphicWarmupLevel = 0)

# Run progress: 0.00% complete, ETA 00:16:00
# Fork: 1 of 2
# Warmup Iteration   1: 29.391 ops/s
# Warmup Iteration   2: 36.370 ops/s
# Warmup Iteration   3: 37.759 ops/s
# Warmup Iteration   4: 39.422 ops/s
# Warmup Iteration   5: 40.420 ops/s
# Warmup Iteration   6: 39.822 ops/s
# Warmup Iteration   7: 39.968 ops/s
# Warmup Iteration   8: 39.276 ops/s
# Warmup Iteration   9: 40.442 ops/s
# Warmup Iteration  10: 39.697 ops/s
# Warmup Iteration  11: 39.811 ops/s
# Warmup Iteration  12: 40.090 ops/s
# Warmup Iteration  13: 39.664 ops/s
# Warmup Iteration  14: 40.104 ops/s
# Warmup Iteration  15: 39.619 ops/s
# Warmup Iteration  16: 40.039 ops/s
# Warmup Iteration  17: 39.817 ops/s
# Warmup Iteration  18: 40.103 ops/s
# Warmup Iteration  19: 40.186 ops/s
# Warmup Iteration  20: 39.860 ops/s
Iteration   1: 39.955 ops/s
Iteration   2: 39.548 ops/s
Iteration   3: 40.065 ops/s
Iteration   4: 40.093 ops/s
Iteration   5: 39.775 ops/s
Iteration   6: 39.763 ops/s
Iteration   7: 39.972 ops/s
Iteration   8: 40.554 ops/s
Iteration   9: 39.350 ops/s
Iteration  10: 39.935 ops/s

# Run progress: 6.25% complete, ETA 00:15:17
# Fork: 2 of 2
# Warmup Iteration   1: 28.462 ops/s
# Warmup Iteration   2: 35.692 ops/s
# Warmup Iteration   3: 36.582 ops/s
# Warmup Iteration   4: 38.118 ops/s
# Warmup Iteration   5: 38.183 ops/s
# Warmup Iteration   6: 37.858 ops/s
# Warmup Iteration   7: 38.439 ops/s
# Warmup Iteration   8: 38.188 ops/s
# Warmup Iteration   9: 38.120 ops/s
# Warmup Iteration  10: 39.044 ops/s
# Warmup Iteration  11: 37.961 ops/s
# Warmup Iteration  12: 38.178 ops/s
# Warmup Iteration  13: 38.811 ops/s
# Warmup Iteration  14: 38.031 ops/s
# Warmup Iteration  15: 38.277 ops/s
# Warmup Iteration  16: 38.504 ops/s
# Warmup Iteration  17: 38.167 ops/s
# Warmup Iteration  18: 38.240 ops/s
# Warmup Iteration  19: 38.537 ops/s
# Warmup Iteration  20: 38.075 ops/s
Iteration   1: 38.436 ops/s
Iteration   2: 38.209 ops/s
Iteration   3: 38.472 ops/s
Iteration   4: 38.142 ops/s
Iteration   5: 38.313 ops/s
