,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),1,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,29.391,1,2,2
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),2,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,36.370,1,2,2
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),3,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,37.759,1,2,2
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),4,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.422,1,2,2
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),5,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,40.420,1,2,2
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),6,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.822,1,2,2
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),7,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.968,1,2,2
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),8,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.276,1,2,2
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),9,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,40.442,1,2,2
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),10,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.697,1,2,2
10,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),11,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.811,1,2,2
11,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),12,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,40.090,1,2,2
12,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),13,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.664,1,2,2
13,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),14,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,40.104,1,2,2
14,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),15,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,39.619,1,2,2
15,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),16,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,40.039,1,2,2
