,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),1,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,9.125,1,2,1
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),2,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.085,1,2,1
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),3,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,10.155,1,2,1
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),4,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.889,1,2,1
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),5,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,10.899,1,2,1
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),6,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,9.704,1,2,1
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),7,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.966,1,2,1
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),8,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.776,1,2,1
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),9,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.920,1,2,1
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),10,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,9.993,1,2,1
10,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala, (megamorphicWarmupLevel = 0),11,warmup,ops/s,serial_eager_scala, com.gs.collections.impl.jmh,11.132,1,2,1
