# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala
# Parameters: (megamorphicWarmupLevel = 0)

# Run progress: 0.00% complete, ETA 00:08:00
# Fork: 1 of 2
# Warmup Iteration   1: 12.361 ops/s
# Warmup Iteration   2: 12.947 ops/s
# Warmup Iteration   3: 11.979 ops/s
# Warmup Iteration   4: 12.621 ops/s
# Warmup Iteration   5: 16.245 ops/s
# Warmup Iteration   6: 16.216 ops/s
# Warmup Iteration   7: 13.481 ops/s
# Warmup Iteration   8: 13.319 ops/s
# Warmup Iteration   9: 16.243 ops/s
# Warmup Iteration  10: 16.090 ops/s
# Warmup Iteration  11: 14.752 ops/s
# Warmup Iteration  12: 15.647 ops/s
# Warmup Iteration  13: 13.689 ops/s
# Warmup Iteration  14: 14.842 ops/s
# Warmup Iteration  15: 16.263 ops/s
# Warmup Iteration  16: 15.047 ops/s
# Warmup Iteration  17: 16.122 ops/s
# Warmup Iteration  18: 16.260 ops/s
# Warmup Iteration  19: 16.189 ops/s
# Warmup Iteration  20: 16.252 ops/s
Iteration   1: 16.265 ops/s
Iteration   2: 16.161 ops/s
Iteration   3: 14.577 ops/s
Iteration   4: 15.476 ops/s
Iteration   5: 15.440 ops/s
Iteration   6: 15.092 ops/s
Iteration   7: 15.141 ops/s
Iteration   8: 15.317 ops/s
Iteration   9: 16.075 ops/s
Iteration  10: 15.184 ops/s

# Run progress: 12.50% complete, ETA 00:07:13
# Fork: 2 of 2
# Warmup Iteration   1: 11.459 ops/s
# Warmup Iteration   2: 13.831 ops/s
# Warmup Iteration   3: 12.771 ops/s
# Warmup Iteration   4: 14.135 ops/s
# Warmup Iteration   5: 13.483 ops/s
# Warmup Iteration   6: 12.296 ops/s
# Warmup Iteration   7: 15.372 ops/s
# Warmup Iteration   8: 15.172 ops/s
# Warmup Iteration   9: 15.366 ops/s
# Warmup Iteration  10: 12.237 ops/s
# Warmup Iteration  11: 15.356 ops/s
# Warmup Iteration  12: 15.202 ops/s
# Warmup Iteration  13: 15.341 ops/s
# Warmup Iteration  14: 15.352 ops/s
# Warmup Iteration  15: 15.204 ops/s
# Warmup Iteration  16: 15.360 ops/s
# Warmup Iteration  17: 15.351 ops/s
# Warmup Iteration  18: 15.358 ops/s
# Warmup Iteration  19: 13.498 ops/s
# Warmup Iteration  20: 14.809 ops/s
Iteration   1: 15.257 ops/s
Iteration   2: 15.385 ops/s
Iteration   3: 15.272 ops/s
Iteration   4: 15.014 ops/s
Iteration   5: 12.765 ops/s
