,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,1,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,3.492,1,2,2
1,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,2,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.934,1,2,2
2,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,3,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.315,1,2,2
3,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,4,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.200,1,2,2
4,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,5,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.090,1,2,2
5,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,6,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.388,1,2,2
6,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,7,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.256,1,2,2
7,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,8,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.941,1,2,2
8,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,9,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.697,1,2,2
9,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,10,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.812,1,2,2
10,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,11,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.747,1,2,2
11,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,12,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.278,1,2,2
12,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,13,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.438,1,2,2
13,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,14,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.220,1,2,2
14,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,15,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.441,1,2,2
15,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,16,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.177,1,2,2
16,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,17,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.232,1,2,2
17,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,18,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.650,1,2,2
18,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,19,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.969,1,2,2
19,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,20,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.968,1,2,2
20,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,1,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.344,1,2,2
21,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,2,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.438,1,2,2
22,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,3,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.439,1,2,2
23,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,4,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.365,1,2,2
24,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,5,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.240,1,2,2
25,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,6,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.346,1,2,2
26,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,7,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.447,1,2,2
27,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,8,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.435,1,2,2
28,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,9,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.449,1,2,2
29,"Throughput, ops/time",GroupBySetTest,1.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,10,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.263,1,2,2
30,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,1,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,3.296,1,2,2
31,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,2,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.120,1,2,2
32,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,3,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.307,1,2,2
33,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,4,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.217,1,2,2
34,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,5,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.189,1,2,2
35,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,6,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.457,1,2,2
36,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,7,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.303,1,2,2
37,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,8,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.320,1,2,2
38,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,9,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.928,1,2,2
39,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,10,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.126,1,2,2
40,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,11,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.494,1,2,2
41,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,12,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.502,1,2,2
42,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,13,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.551,1,2,2
43,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,14,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.006,1,2,2
44,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,15,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.329,1,2,2
45,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,16,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.559,1,2,2
46,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,17,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.092,1,2,2
47,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,18,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.064,1,2,2
48,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,19,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,4.609,1,2,2
49,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,20,warmup,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.329,1,2,2
50,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,1,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.563,1,2,2
51,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,2,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.561,1,2,2
52,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,3,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.570,1,2,2
53,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,4,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.562,1,2,2
54,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,5,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.181,1,2,2
55,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,6,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.304,1,2,2
56,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,7,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.362,1,2,2
57,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,8,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.565,1,2,2
58,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,9,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.567,1,2,2
59,"Throughput, ops/time",GroupBySetTest,2.0, com.gs.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_serial_eager_scala,,10,measured,ops/s,groupBy_10000_keys_serial_eager_scala, com.gs.collections.impl.jmh,5.551,1,2,2
