"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,4.836813,0.057846,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.354746,0.080915,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.765450,0.007659,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.491913,0.034144,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.644441,0.025766,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.133144,0.009824,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.203854,0.006377,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.927403,0.023692,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.957969,0.015036,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.928236,0.022643,"ops/s",false,100000
