"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,5.394584,0.038152,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.316960,0.059479,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.761872,0.004932,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.486779,0.031337,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.595968,0.059160,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.214448,0.040583,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.187944,0.004939,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.922659,0.002561,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.943720,0.018063,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.928444,0.034953,"ops/s",false,100000
