# JMH version: 1.21
# VM version: JDK 10.0.1, Java HotSpot(TM) 64-Bit Server VM, 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc

# Run progress: 0.00% complete, ETA 00:58:20
# Fork: 1 of 5
# Warmup Iteration   1: 65.867 ops/s
# Warmup Iteration   2: 68.156 ops/s
# Warmup Iteration   3: 67.081 ops/s
# Warmup Iteration   4: 66.640 ops/s
# Warmup Iteration   5: 69.050 ops/s
Iteration   1: 68.920 ops/s
Iteration   2: 68.931 ops/s
Iteration   3: 68.813 ops/s
Iteration   4: 67.739 ops/s
Iteration   5: 68.335 ops/s

# Run progress: 2.86% complete, ETA 00:57:02
# Fork: 2 of 5
# Warmup Iteration   1: 65.522 ops/s
# Warmup Iteration   2: 68.172 ops/s
# Warmup Iteration   3: 67.620 ops/s
# Warmup Iteration   4: 65.904 ops/s
# Warmup Iteration   5: 68.632 ops/s
Iteration   1: 68.750 ops/s
Iteration   2: 68.926 ops/s
Iteration   3: 71.372 ops/s
Iteration   4: 69.264 ops/s
Iteration   5: 68.347 ops/s

# Run progress: 5.71% complete, ETA 00:55:21
# Fork: 3 of 5
# Warmup Iteration   1: 66.940 ops/s
# Warmup Iteration   2: 69.818 ops/s
# Warmup Iteration   3: 68.870 ops/s
# Warmup Iteration   4: 68.317 ops/s
# Warmup Iteration   5: 70.817 ops/s
Iteration   1: 70.863 ops/s
Iteration   2: 71.010 ops/s
Iteration   3: 71.037 ops/s
Iteration   4: 70.740 ops/s
Iteration   5: 70.768 ops/s

# Run progress: 8.57% complete, ETA 00:53:40
# Fork: 4 of 5
# Warmup Iteration   1: 67.983 ops/s
# Warmup Iteration   2: 70.718 ops/s
# Warmup Iteration   3: 69.488 ops/s
# Warmup Iteration   4: 66.735 ops/s
# Warmup Iteration   5: 74.086 ops/s
Iteration   1: 72.231 ops/s
Iteration   2: 72.017 ops/s
Iteration   3: 71.832 ops/s
Iteration   4: 71.755 ops/s
Iteration   5: 71.795 ops/s

# Run progress: 11.43% complete, ETA 00:51:59
# Fork: 5 of 5
# Warmup Iteration   1: 65.509 ops/s
# Warmup Iteration   2: 66.740 ops/s
# Warmup Iteration   3: 66.885 ops/s
# Warmup Iteration   4: 66.380 ops/s
# Warmup Iteration   5: 68.913 ops/s
Iteration   1: 69.087 ops/s
Iteration   2: 68.072 ops/s
Iteration   3: 69.178 ops/s
Iteration   4: 68.836 ops/s
Iteration   5: 68.871 ops/s


Result "com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc":
  69.900 ±(99.9%) 1.079 ops/s [Average]
  (min, avg, max) = (67.739, 69.900, 72.231), stdev = 1.440
  CI (99.9%): [68.821, 70.978] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 10.0.1, Java HotSpot(TM) 64-Bit Server VM, 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
