# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.SetAddAllTest.gsc

# Run progress: 0.00% complete, ETA 00:16:40
# Fork: 1 of 5
# Warmup Iteration   1: 144.348 ops/s
# Warmup Iteration   2: 139.007 ops/s
# Warmup Iteration   3: 129.812 ops/s
# Warmup Iteration   4: 144.011 ops/s
# Warmup Iteration   5: 138.462 ops/s
Iteration   1: 142.653 ops/s
Iteration   2: 145.262 ops/s
Iteration   3: 140.486 ops/s
Iteration   4: 134.909 ops/s
Iteration   5: 139.090 ops/s

# Run progress: 10.00% complete, ETA 00:15:04
# Fork: 2 of 5
# Warmup Iteration   1: 132.608 ops/s
# Warmup Iteration   2: 129.010 ops/s
# Warmup Iteration   3: 126.196 ops/s
# Warmup Iteration   4: 133.030 ops/s
# Warmup Iteration   5: 129.414 ops/s
Iteration   1: 133.025 ops/s
Iteration   2: 133.778 ops/s
Iteration   3: 130.056 ops/s
Iteration   4: 138.544 ops/s
Iteration   5: 135.500 ops/s

# Run progress: 20.00% complete, ETA 00:13:23
# Fork: 3 of 5
# Warmup Iteration   1: 145.174 ops/s
# Warmup Iteration   2: 143.955 ops/s
# Warmup Iteration   3: 140.444 ops/s
# Warmup Iteration   4: 132.032 ops/s
# Warmup Iteration   5: 138.059 ops/s
Iteration   1: 139.150 ops/s
Iteration   2: 133.189 ops/s
Iteration   3: 140.856 ops/s
Iteration   4: 143.722 ops/s
Iteration   5: 133.902 ops/s

# Run progress: 30.00% complete, ETA 00:11:42
# Fork: 4 of 5
# Warmup Iteration   1: 139.322 ops/s
# Warmup Iteration   2: 131.353 ops/s
# Warmup Iteration   3: 128.620 ops/s
# Warmup Iteration   4: 132.626 ops/s
# Warmup Iteration   5: 132.773 ops/s
Iteration   1: 133.693 ops/s
Iteration   2: 134.902 ops/s
Iteration   3: 129.929 ops/s
Iteration   4: 129.390 ops/s
Iteration   5: 136.317 ops/s

# Run progress: 40.00% complete, ETA 00:10:02
# Fork: 5 of 5
# Warmup Iteration   1: 130.815 ops/s
# Warmup Iteration   2: 133.360 ops/s
# Warmup Iteration   3: 135.476 ops/s
# Warmup Iteration   4: 131.989 ops/s
