Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ns/op, hex.pca,PCACatOnlyPUBDEV3988Bench,measureImputeMissingScoring, (PCAImplementation = JAMA),0,181370.91799999998,137211.8945,0.7565264377169885,True,large,0.9680990805029086
"Average time, time/op",ns/op, hex.pca,PCACatOnlyPUBDEV3988Bench,measureImputeMissingScoring, (PCAImplementation = MTJ_EVD_DENSEMATRIX),0,181978.512,138809.731,0.7627808881083719,True,large,0.9888503105286323
"Average time, time/op",ns/op, hex.pca,PCACatOnlyPUBDEV3988Bench,measureImputeMissingScoring, (PCAImplementation = MTJ_EVD_SYMMMATRIX),0,184140.63199999998,141129.07049999997,0.7664200397661283,True,large,0.9873469387755102
"Average time, time/op",ns/op, hex.pca,PCACatOnlyPUBDEV3988Bench,measureImputeMissingScoring, (PCAImplementation = MTJ_SVD_DENSEMATRIX),0,183679.329,138940.14500000002,0.7564277687447346,True,large,0.9442570918468558
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingScoringBench,measureImputeMissingScoring, (PCAImplementation = JAMA),0,181455.9435,138574.70750000002,0.7636823838729759,True,large,0.9136084110295576
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingScoringBench,measureImputeMissingScoring, (PCAImplementation = MTJ_EVD_DENSEMATRIX),0,183498.1775,139616.8505,0.7608623279105865,True,large,0.915991512345679
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingScoringBench,measureImputeMissingScoring, (PCAImplementation = MTJ_EVD_SYMMMATRIX),0,187153.11899999998,138143.52800000002,0.7381310487270054,True,large,0.9702259215219976
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingScoringBench,measureImputeMissingScoring, (PCAImplementation = MTJ_SVD_DENSEMATRIX),0,183333.2755,140369.08649999998,0.7656498042549836,True,large,0.9711015199849878
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingTrainingBench,measureImputeMissingTraining, (PCAImplementation = JAMA),0,2966697.8674999997,3501221.7665,1.1801747002469236,False,small,-0.2866666666666667
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingTrainingBench,measureImputeMissingTraining, (PCAImplementation = MTJ_EVD_DENSEMATRIX),0,3075466.954,3549159.013,1.1540228089213929,False,small,-0.22666666666666666
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingTrainingBench,measureImputeMissingTraining, (PCAImplementation = MTJ_EVD_SYMMMATRIX),0,3044062.267,3435418.5115,1.1285638105181375,False,small,-0.2222222222222222
"Average time, time/op",ns/op, hex.pca,PCAImputeMissingTrainingBench,measureImputeMissingTraining, (PCAImplementation = MTJ_SVD_DENSEMATRIX),0,2999769.3395,3406295.556,1.1355191584722844,True,medium,-0.3488888888888889
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",0,146254.09699999998,151612.893,1.0366403137410916,False,negligible,-0.02761136885725868
