,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),1,warmup,ns/op,measureImputeMissingScoring, hex.pca,481717.736,1,5,1
1,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),2,warmup,ns/op,measureImputeMissingScoring, hex.pca,186713.083,1,5,1
2,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),3,warmup,ns/op,measureImputeMissingScoring, hex.pca,146885.987,1,5,1
3,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),4,warmup,ns/op,measureImputeMissingScoring, hex.pca,153536.066,1,5,1
4,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),5,warmup,ns/op,measureImputeMissingScoring, hex.pca,195704.564,1,5,1
5,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),6,warmup,ns/op,measureImputeMissingScoring, hex.pca,210790.768,1,5,1
6,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),7,warmup,ns/op,measureImputeMissingScoring, hex.pca,138943.718,1,5,1
7,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),8,warmup,ns/op,measureImputeMissingScoring, hex.pca,126492.334,1,5,1
8,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),9,warmup,ns/op,measureImputeMissingScoring, hex.pca,127982.671,1,5,1
9,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),10,warmup,ns/op,measureImputeMissingScoring, hex.pca,129832.325,1,5,1
10,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),11,warmup,ns/op,measureImputeMissingScoring, hex.pca,131082.164,1,5,1
11,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),12,warmup,ns/op,measureImputeMissingScoring, hex.pca,130802.757,1,5,1
12,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),13,warmup,ns/op,measureImputeMissingScoring, hex.pca,131712.437,1,5,1
13,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),14,warmup,ns/op,measureImputeMissingScoring, hex.pca,124450.589,1,5,1
14,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),15,warmup,ns/op,measureImputeMissingScoring, hex.pca,145793.098,1,5,1
15,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),16,warmup,ns/op,measureImputeMissingScoring, hex.pca,126533.771,1,5,1
16,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),17,warmup,ns/op,measureImputeMissingScoring, hex.pca,134523.158,1,5,1
17,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),18,warmup,ns/op,measureImputeMissingScoring, hex.pca,130448.329,1,5,1
18,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),19,warmup,ns/op,measureImputeMissingScoring, hex.pca,124904.827,1,5,1
19,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),20,warmup,ns/op,measureImputeMissingScoring, hex.pca,126576.861,1,5,1
20,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),21,warmup,ns/op,measureImputeMissingScoring, hex.pca,128732.365,1,5,1
21,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),22,warmup,ns/op,measureImputeMissingScoring, hex.pca,126788.533,1,5,1
22,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),23,warmup,ns/op,measureImputeMissingScoring, hex.pca,129230.466,1,5,1
23,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),24,warmup,ns/op,measureImputeMissingScoring, hex.pca,148013.831,1,5,1
24,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),25,warmup,ns/op,measureImputeMissingScoring, hex.pca,153092.641,1,5,1
25,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),26,warmup,ns/op,measureImputeMissingScoring, hex.pca,157344.623,1,5,1
26,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),27,warmup,ns/op,measureImputeMissingScoring, hex.pca,170147.874,1,5,1
27,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),28,warmup,ns/op,measureImputeMissingScoring, hex.pca,151096.501,1,5,1
28,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),29,warmup,ns/op,measureImputeMissingScoring, hex.pca,130659.055,1,5,1
29,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),30,warmup,ns/op,measureImputeMissingScoring, hex.pca,132655.332,1,5,1
30,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),1,measured,ns/op,measureImputeMissingScoring, hex.pca,129956.372,1,5,1
31,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),2,measured,ns/op,measureImputeMissingScoring, hex.pca,127837.808,1,5,1
32,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),3,measured,ns/op,measureImputeMissingScoring, hex.pca,128330.908,1,5,1
33,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),4,measured,ns/op,measureImputeMissingScoring, hex.pca,129028.377,1,5,1
34,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),5,measured,ns/op,measureImputeMissingScoring, hex.pca,131720.608,1,5,1
35,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),6,measured,ns/op,measureImputeMissingScoring, hex.pca,136080.681,1,5,1
36,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),7,measured,ns/op,measureImputeMissingScoring, hex.pca,133041.777,1,5,1
37,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),8,measured,ns/op,measureImputeMissingScoring, hex.pca,145330.677,1,5,1
38,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),9,measured,ns/op,measureImputeMissingScoring, hex.pca,133140.258,1,5,1
39,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),10,measured,ns/op,measureImputeMissingScoring, hex.pca,151875.788,1,5,1
40,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),11,measured,ns/op,measureImputeMissingScoring, hex.pca,180402.623,1,5,1
41,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),12,measured,ns/op,measureImputeMissingScoring, hex.pca,135092.351,1,5,1
42,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),13,measured,ns/op,measureImputeMissingScoring, hex.pca,150110.940,1,5,1
43,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),14,measured,ns/op,measureImputeMissingScoring, hex.pca,136196.265,1,5,1
44,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),15,measured,ns/op,measureImputeMissingScoring, hex.pca,134356.579,1,5,1
45,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),16,measured,ns/op,measureImputeMissingScoring, hex.pca,139663.882,1,5,1
46,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),17,measured,ns/op,measureImputeMissingScoring, hex.pca,132107.517,1,5,1
47,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),18,measured,ns/op,measureImputeMissingScoring, hex.pca,131152.579,1,5,1
48,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),19,measured,ns/op,measureImputeMissingScoring, hex.pca,136046.272,1,5,1
49,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),20,measured,ns/op,measureImputeMissingScoring, hex.pca,137603.864,1,5,1
50,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),21,measured,ns/op,measureImputeMissingScoring, hex.pca,173858.872,1,5,1
51,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),22,measured,ns/op,measureImputeMissingScoring, hex.pca,137226.445,1,5,1
52,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),23,measured,ns/op,measureImputeMissingScoring, hex.pca,170889.283,1,5,1
53,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),24,measured,ns/op,measureImputeMissingScoring, hex.pca,130534.219,1,5,1
54,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),25,measured,ns/op,measureImputeMissingScoring, hex.pca,131880.441,1,5,1
55,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),26,measured,ns/op,measureImputeMissingScoring, hex.pca,134063.392,1,5,1
56,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),27,measured,ns/op,measureImputeMissingScoring, hex.pca,137825.507,1,5,1
57,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),28,measured,ns/op,measureImputeMissingScoring, hex.pca,140138.946,1,5,1
58,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),29,measured,ns/op,measureImputeMissingScoring, hex.pca,140543.356,1,5,1
59,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),30,measured,ns/op,measureImputeMissingScoring, hex.pca,148138.302,1,5,1
