,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),1,warmup,ns/op,measureImputeMissingScoring, hex.pca,2543459.000,1,5,1
1,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),2,warmup,ns/op,measureImputeMissingScoring, hex.pca,521335.807,1,5,1
2,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),3,warmup,ns/op,measureImputeMissingScoring, hex.pca,299769.884,1,5,1
3,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),4,warmup,ns/op,measureImputeMissingScoring, hex.pca,231146.890,1,5,1
4,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),5,warmup,ns/op,measureImputeMissingScoring, hex.pca,178229.247,1,5,1
5,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),6,warmup,ns/op,measureImputeMissingScoring, hex.pca,217022.293,1,5,1
6,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),7,warmup,ns/op,measureImputeMissingScoring, hex.pca,308652.703,1,5,1
7,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),8,warmup,ns/op,measureImputeMissingScoring, hex.pca,271198.267,1,5,1
8,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),9,warmup,ns/op,measureImputeMissingScoring, hex.pca,308644.646,1,5,1
9,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),10,warmup,ns/op,measureImputeMissingScoring, hex.pca,219942.587,1,5,1
10,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),11,warmup,ns/op,measureImputeMissingScoring, hex.pca,288289.751,1,5,1
11,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),12,warmup,ns/op,measureImputeMissingScoring, hex.pca,282954.324,1,5,1
12,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),13,warmup,ns/op,measureImputeMissingScoring, hex.pca,283754.824,1,5,1
13,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),14,warmup,ns/op,measureImputeMissingScoring, hex.pca,306026.315,1,5,1
14,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),15,warmup,ns/op,measureImputeMissingScoring, hex.pca,243208.390,1,5,1
15,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,1.0, hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring, (PCAImplementation = JAMA),16,warmup,ns/op,measureImputeMissingScoring, hex.pca,192196.820,1,5,1
