,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),1,warmup,ns/op,measureImputeMissingScoring, hex.pca,2130971.000,1,5,1
1,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),2,warmup,ns/op,measureImputeMissingScoring, hex.pca,481450.799,1,5,1
2,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),3,warmup,ns/op,measureImputeMissingScoring, hex.pca,254185.107,1,5,1
3,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),4,warmup,ns/op,measureImputeMissingScoring, hex.pca,221456.559,1,5,1
4,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),5,warmup,ns/op,measureImputeMissingScoring, hex.pca,202601.163,1,5,1
5,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),6,warmup,ns/op,measureImputeMissingScoring, hex.pca,261055.750,1,5,1
6,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),7,warmup,ns/op,measureImputeMissingScoring, hex.pca,676313.427,1,5,1
7,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),8,warmup,ns/op,measureImputeMissingScoring, hex.pca,222714.969,1,5,1
8,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),9,warmup,ns/op,measureImputeMissingScoring, hex.pca,251684.585,1,5,1
9,"Average time, time/op",PCAImputeMissingScoringBench,1.0, hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring, (PCAImplementation = JAMA),10,warmup,ns/op,measureImputeMissingScoring, hex.pca,223703.952,1,5,1
