,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),1,warmup,ns/op,measureImputeMissingTraining, hex.pca,6205056.000,1,1,1
1,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),2,warmup,ns/op,measureImputeMissingTraining, hex.pca,1929236.750,1,1,1
2,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),3,warmup,ns/op,measureImputeMissingTraining, hex.pca,929449.081,1,1,1
3,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),4,warmup,ns/op,measureImputeMissingTraining, hex.pca,933000.129,1,1,1
4,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),5,warmup,ns/op,measureImputeMissingTraining, hex.pca,1156276.917,1,1,1
5,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),6,warmup,ns/op,measureImputeMissingTraining, hex.pca,1206291.945,1,1,1
6,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),7,warmup,ns/op,measureImputeMissingTraining, hex.pca,1117412.348,1,1,1
7,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),8,warmup,ns/op,measureImputeMissingTraining, hex.pca,1454257.860,1,1,1
8,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),9,warmup,ns/op,measureImputeMissingTraining, hex.pca,1546169.345,1,1,1
9,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),10,warmup,ns/op,measureImputeMissingTraining, hex.pca,1459115.550,1,1,1
10,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),11,warmup,ns/op,measureImputeMissingTraining, hex.pca,1657053.007,1,1,1
11,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),12,warmup,ns/op,measureImputeMissingTraining, hex.pca,1632146.257,1,1,1
12,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),13,warmup,ns/op,measureImputeMissingTraining, hex.pca,1643885.119,1,1,1
13,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),14,warmup,ns/op,measureImputeMissingTraining, hex.pca,1993271.107,1,1,1
14,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),15,warmup,ns/op,measureImputeMissingTraining, hex.pca,1279262.150,1,1,1
15,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),16,warmup,ns/op,measureImputeMissingTraining, hex.pca,1974945.544,1,1,1
16,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),17,warmup,ns/op,measureImputeMissingTraining, hex.pca,2029163.765,1,1,1
17,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),18,warmup,ns/op,measureImputeMissingTraining, hex.pca,1793569.694,1,1,1
18,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),19,warmup,ns/op,measureImputeMissingTraining, hex.pca,1879258.462,1,1,1
