,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",1,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,171204277.000,1,5,1
1,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",2,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,6620354.909,1,5,1
2,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",3,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,3904000.659,1,5,1
3,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",4,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,2820439.429,1,5,1
4,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",5,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,2969095.011,1,5,1
5,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",6,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,3586422.219,1,5,1
6,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",7,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,5883896.615,1,5,1
7,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",8,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,2616274.131,1,5,1
8,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",9,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,3112211.405,1,5,1
9,"Average time, time/op",PCAWideDataSetsTrainingBench,1.0, hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",10,warmup,ns/op,measureWideDataSetsBenchTrainingCase, hex.pca,2685751.515,1,5,1
