# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 24063.506 ops/ms
# Warmup Iteration   2: 25129.879 ops/ms
# Warmup Iteration   3: 25206.133 ops/ms
# Warmup Iteration   4: 26856.027 ops/ms
# Warmup Iteration   5: 20608.055 ops/ms
# Warmup Iteration   6: 24581.122 ops/ms
# Warmup Iteration   7: 25109.929 ops/ms
# Warmup Iteration   8: 23644.627 ops/ms
# Warmup Iteration   9: 26859.919 ops/ms
# Warmup Iteration  10: 26858.721 ops/ms
# Warmup Iteration  11: 26866.165 ops/ms
# Warmup Iteration  12: 26845.354 ops/ms
# Warmup Iteration  13: 26839.035 ops/ms
# Warmup Iteration  14: 26841.762 ops/ms
# Warmup Iteration  15: 26841.715 ops/ms
# Warmup Iteration  16: 26859.045 ops/ms
# Warmup Iteration  17: 26833.122 ops/ms
# Warmup Iteration  18: 25142.352 ops/ms
# Warmup Iteration  19: 25296.099 ops/ms
# Warmup Iteration  20: 26810.003 ops/ms
Iteration   1: 26763.614 ops/ms
Iteration   2: 25080.609 ops/ms
Iteration   3: 19810.819 ops/ms
Iteration   4: 24671.537 ops/ms
Iteration   5: 26806.528 ops/ms
Iteration   6: 26833.069 ops/ms
Iteration   7: 26829.961 ops/ms
Iteration   8: 26806.746 ops/ms
Iteration   9: 21294.927 ops/ms
Iteration  10: 24688.954 ops/ms
Iteration  11: 26824.113 ops/ms
Iteration  12: 26816.861 ops/ms
Iteration  13: 26829.691 ops/ms
Iteration  14: 26839.331 ops/ms
Iteration  15: 21441.438 ops/ms
Iteration  16: 24715.311 ops/ms
Iteration  17: 26831.724 ops/ms
Iteration  18: 26836.448 ops/ms
Iteration  19: 26804.413 ops/ms
Iteration  20: 26825.410 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 24583.475 ops/ms
# Warmup Iteration   2: 24403.200 ops/ms
# Warmup Iteration   3: 26866.141 ops/ms
# Warmup Iteration   4: 25474.556 ops/ms
# Warmup Iteration   5: 25359.550 ops/ms
# Warmup Iteration   6: 25384.480 ops/ms
# Warmup Iteration   7: 23862.150 ops/ms
# Warmup Iteration   8: 25234.027 ops/ms
# Warmup Iteration   9: 24085.017 ops/ms
# Warmup Iteration  10: 22748.133 ops/ms
# Warmup Iteration  11: 24140.069 ops/ms
# Warmup Iteration  12: 25205.505 ops/ms
# Warmup Iteration  13: 24708.243 ops/ms
# Warmup Iteration  14: 25204.712 ops/ms
# Warmup Iteration  15: 25579.621 ops/ms
# Warmup Iteration  16: 25410.149 ops/ms
# Warmup Iteration  17: 25353.192 ops/ms
# Warmup Iteration  18: 25097.304 ops/ms
# Warmup Iteration  19: 22713.363 ops/ms
# Warmup Iteration  20: 24814.284 ops/ms
Iteration   1: 26835.362 ops/ms
Iteration   2: 25267.233 ops/ms
Iteration   3: 25324.663 ops/ms
Iteration   4: 25123.163 ops/ms
Iteration   5: 22702.639 ops/ms
Iteration   6: 24357.509 ops/ms
Iteration   7: 23943.642 ops/ms
Iteration   8: 26408.386 ops/ms
Iteration   9: 23988.577 ops/ms
Iteration  10: 24054.191 ops/ms
Iteration  11: 26824.157 ops/ms
Iteration  12: 25862.195 ops/ms
Iteration  13: 24632.854 ops/ms
Iteration  14: 25148.884 ops/ms
Iteration  15: 25406.894 ops/ms
Iteration  16: 25330.975 ops/ms
Iteration  17: 22698.048 ops/ms
Iteration  18: 26358.550 ops/ms
Iteration  19: 23916.862 ops/ms
Iteration  20: 22692.960 ops/ms

# Run progress: 20.00% complete, ETA 00:05:23
# Fork: 3 of 10
# Warmup Iteration   1: 24294.289 ops/ms
# Warmup Iteration   2: 26736.436 ops/ms
# Warmup Iteration   3: 26883.087 ops/ms
# Warmup Iteration   4: 26881.816 ops/ms
# Warmup Iteration   5: 26889.891 ops/ms
# Warmup Iteration   6: 26877.992 ops/ms
# Warmup Iteration   7: 26882.405 ops/ms
# Warmup Iteration   8: 26864.084 ops/ms
# Warmup Iteration   9: 26883.100 ops/ms
# Warmup Iteration  10: 26882.737 ops/ms
# Warmup Iteration  11: 26888.297 ops/ms
# Warmup Iteration  12: 19624.001 ops/ms
# Warmup Iteration  13: 18614.625 ops/ms
# Warmup Iteration  14: 18627.508 ops/ms
# Warmup Iteration  15: 24694.922 ops/ms
# Warmup Iteration  16: 26826.862 ops/ms
# Warmup Iteration  17: 26837.434 ops/ms
# Warmup Iteration  18: 25549.924 ops/ms
# Warmup Iteration  19: 23336.177 ops/ms
# Warmup Iteration  20: 26847.391 ops/ms
Iteration   1: 26834.652 ops/ms
Iteration   2: 24259.305 ops/ms
Iteration   3: 25126.868 ops/ms
Iteration   4: 26832.185 ops/ms
Iteration   5: 26829.672 ops/ms
Iteration   6: 25482.803 ops/ms
Iteration   7: 24721.127 ops/ms
Iteration   8: 26832.407 ops/ms
Iteration   9: 26841.942 ops/ms
Iteration  10: 26845.727 ops/ms
Iteration  11: 26818.452 ops/ms
Iteration  12: 25417.430 ops/ms
Iteration  13: 24577.947 ops/ms
Iteration  14: 26847.857 ops/ms
Iteration  15: 26839.731 ops/ms
Iteration  16: 26819.203 ops/ms
Iteration  17: 26849.636 ops/ms
Iteration  18: 26846.356 ops/ms
Iteration  19: 26836.183 ops/ms
Iteration  20: 25391.025 ops/ms

# Run progress: 30.00% complete, ETA 00:04:43
# Fork: 4 of 10
# Warmup Iteration   1: 22306.453 ops/ms
# Warmup Iteration   2: 22597.078 ops/ms
# Warmup Iteration   3: 25276.511 ops/ms
# Warmup Iteration   4: 26868.203 ops/ms
# Warmup Iteration   5: 24829.282 ops/ms
# Warmup Iteration   6: 24162.720 ops/ms
# Warmup Iteration   7: 25217.244 ops/ms
# Warmup Iteration   8: 26445.799 ops/ms
# Warmup Iteration   9: 26885.777 ops/ms
# Warmup Iteration  10: 24167.619 ops/ms
# Warmup Iteration  11: 23754.626 ops/ms
# Warmup Iteration  12: 26701.090 ops/ms
# Warmup Iteration  13: 26883.746 ops/ms
# Warmup Iteration  14: 25251.650 ops/ms
# Warmup Iteration  15: 22750.926 ops/ms
# Warmup Iteration  16: 24428.424 ops/ms
# Warmup Iteration  17: 23941.037 ops/ms
# Warmup Iteration  18: 22713.693 ops/ms
# Warmup Iteration  19: 24387.104 ops/ms
# Warmup Iteration  20: 24797.372 ops/ms
Iteration   1: 24088.049 ops/ms
Iteration   2: 24108.863 ops/ms
Iteration   3: 23936.436 ops/ms
Iteration   4: 26838.594 ops/ms
Iteration   5: 26832.354 ops/ms
Iteration   6: 24075.571 ops/ms
Iteration   7: 23422.674 ops/ms
Iteration   8: 25177.909 ops/ms
Iteration   9: 24082.697 ops/ms
Iteration  10: 26837.359 ops/ms
Iteration  11: 26832.217 ops/ms
Iteration  12: 25222.073 ops/ms
Iteration  13: 26063.339 ops/ms
Iteration  14: 25158.922 ops/ms
Iteration  15: 26324.432 ops/ms
Iteration  16: 26831.076 ops/ms
Iteration  17: 26838.751 ops/ms
Iteration  18: 24056.204 ops/ms
Iteration  19: 22712.989 ops/ms
Iteration  20: 24741.106 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 22278.892 ops/ms
# Warmup Iteration   2: 24521.926 ops/ms
# Warmup Iteration   3: 26859.023 ops/ms
# Warmup Iteration   4: 26835.055 ops/ms
# Warmup Iteration   5: 26863.642 ops/ms
# Warmup Iteration   6: 26834.121 ops/ms
# Warmup Iteration   7: 25282.968 ops/ms
# Warmup Iteration   8: 25413.939 ops/ms
# Warmup Iteration   9: 26853.963 ops/ms
# Warmup Iteration  10: 26852.466 ops/ms
# Warmup Iteration  11: 26864.892 ops/ms
# Warmup Iteration  12: 23980.130 ops/ms
# Warmup Iteration  13: 22005.376 ops/ms
# Warmup Iteration  14: 24285.466 ops/ms
# Warmup Iteration  15: 26863.067 ops/ms
# Warmup Iteration  16: 26863.523 ops/ms
# Warmup Iteration  17: 25733.076 ops/ms
# Warmup Iteration  18: 25470.287 ops/ms
# Warmup Iteration  19: 26831.594 ops/ms
# Warmup Iteration  20: 26823.984 ops/ms
Iteration   1: 26827.172 ops/ms
Iteration   2: 26809.143 ops/ms
Iteration   3: 26825.928 ops/ms
Iteration   4: 26827.337 ops/ms
Iteration   5: 26820.570 ops/ms
Iteration   6: 26809.987 ops/ms
Iteration   7: 25145.552 ops/ms
Iteration   8: 26233.939 ops/ms
Iteration   9: 26822.562 ops/ms
Iteration  10: 26817.239 ops/ms
Iteration  11: 26831.702 ops/ms
Iteration  12: 26804.715 ops/ms
Iteration  13: 26833.632 ops/ms
Iteration  14: 26832.149 ops/ms
Iteration  15: 26825.167 ops/ms
Iteration  16: 26823.755 ops/ms
Iteration  17: 24092.290 ops/ms
Iteration  18: 25381.532 ops/ms
Iteration  19: 26788.197 ops/ms
Iteration  20: 26815.296 ops/ms

# Run progress: 50.00% complete, ETA 00:03:22
# Fork: 6 of 10
# Warmup Iteration   1: 24320.203 ops/ms
# Warmup Iteration   2: 26710.041 ops/ms
# Warmup Iteration   3: 26889.991 ops/ms
# Warmup Iteration   4: 26866.681 ops/ms
# Warmup Iteration   5: 26862.002 ops/ms
# Warmup Iteration   6: 26866.116 ops/ms
