# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 4618.536 ops/ms
# Warmup Iteration   2: 7253.792 ops/ms
# Warmup Iteration   3: 7857.070 ops/ms
# Warmup Iteration   4: 7300.046 ops/ms
# Warmup Iteration   5: 6865.268 ops/ms
# Warmup Iteration   6: 7498.739 ops/ms
# Warmup Iteration   7: 8018.522 ops/ms
# Warmup Iteration   8: 8018.870 ops/ms
# Warmup Iteration   9: 8016.454 ops/ms
# Warmup Iteration  10: 8018.118 ops/ms
# Warmup Iteration  11: 8014.920 ops/ms
# Warmup Iteration  12: 7316.640 ops/ms
# Warmup Iteration  13: 7607.206 ops/ms
# Warmup Iteration  14: 8014.419 ops/ms
# Warmup Iteration  15: 8017.895 ops/ms
# Warmup Iteration  16: 7396.366 ops/ms
# Warmup Iteration  17: 7217.704 ops/ms
# Warmup Iteration  18: 7297.223 ops/ms
# Warmup Iteration  19: 7581.652 ops/ms
# Warmup Iteration  20: 6812.358 ops/ms
Iteration   1: 7925.212 ops/ms
Iteration   2: 7923.774 ops/ms
Iteration   3: 7921.150 ops/ms
Iteration   4: 7925.944 ops/ms
Iteration   5: 7344.359 ops/ms
Iteration   6: 7318.270 ops/ms
Iteration   7: 7924.317 ops/ms
Iteration   8: 7926.257 ops/ms
Iteration   9: 7069.682 ops/ms
Iteration  10: 6754.652 ops/ms
Iteration  11: 7352.717 ops/ms
Iteration  12: 6741.174 ops/ms
Iteration  13: 7922.308 ops/ms
Iteration  14: 7923.295 ops/ms
Iteration  15: 6781.176 ops/ms
Iteration  16: 7924.245 ops/ms
Iteration  17: 7920.185 ops/ms
Iteration  18: 7925.826 ops/ms
Iteration  19: 7921.943 ops/ms
Iteration  20: 7297.089 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 4084.694 ops/ms
# Warmup Iteration   2: 7807.763 ops/ms
# Warmup Iteration   3: 7844.405 ops/ms
# Warmup Iteration   4: 7869.001 ops/ms
# Warmup Iteration   5: 7763.765 ops/ms
# Warmup Iteration   6: 7654.287 ops/ms
# Warmup Iteration   7: 7647.080 ops/ms
# Warmup Iteration   8: 7652.467 ops/ms
# Warmup Iteration   9: 7647.302 ops/ms
# Warmup Iteration  10: 7654.634 ops/ms
# Warmup Iteration  11: 7643.692 ops/ms
# Warmup Iteration  12: 7656.112 ops/ms
# Warmup Iteration  13: 7647.520 ops/ms
# Warmup Iteration  14: 7656.094 ops/ms
# Warmup Iteration  15: 7644.947 ops/ms
# Warmup Iteration  16: 7656.275 ops/ms
# Warmup Iteration  17: 7890.003 ops/ms
# Warmup Iteration  18: 7899.528 ops/ms
