# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 6671.135 ops/ms
# Warmup Iteration   2: 8754.464 ops/ms
# Warmup Iteration   3: 8825.592 ops/ms
# Warmup Iteration   4: 9772.151 ops/ms
# Warmup Iteration   5: 8947.111 ops/ms
# Warmup Iteration   6: 10396.489 ops/ms
# Warmup Iteration   7: 10521.657 ops/ms
# Warmup Iteration   8: 10523.007 ops/ms
# Warmup Iteration   9: 10510.972 ops/ms
# Warmup Iteration  10: 10521.924 ops/ms
# Warmup Iteration  11: 10513.344 ops/ms
# Warmup Iteration  12: 10494.048 ops/ms
# Warmup Iteration  13: 10510.321 ops/ms
# Warmup Iteration  14: 10507.296 ops/ms
# Warmup Iteration  15: 10522.896 ops/ms
# Warmup Iteration  16: 10492.791 ops/ms
# Warmup Iteration  17: 10332.825 ops/ms
# Warmup Iteration  18: 10321.730 ops/ms
# Warmup Iteration  19: 10328.226 ops/ms
# Warmup Iteration  20: 10315.803 ops/ms
Iteration   1: 10327.200 ops/ms
Iteration   2: 10318.927 ops/ms
Iteration   3: 10313.533 ops/ms
Iteration   4: 10319.250 ops/ms
Iteration   5: 10328.557 ops/ms
Iteration   6: 10322.583 ops/ms
Iteration   7: 10326.992 ops/ms
Iteration   8: 10311.849 ops/ms
Iteration   9: 10330.663 ops/ms
Iteration  10: 10319.110 ops/ms
Iteration  11: 10321.042 ops/ms
Iteration  12: 10324.838 ops/ms
Iteration  13: 10318.526 ops/ms
Iteration  14: 10323.731 ops/ms
Iteration  15: 10326.657 ops/ms
Iteration  16: 10303.258 ops/ms
Iteration  17: 10329.402 ops/ms
Iteration  18: 10332.928 ops/ms
Iteration  19: 10323.618 ops/ms
Iteration  20: 10303.933 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 6770.586 ops/ms
# Warmup Iteration   2: 8833.401 ops/ms
# Warmup Iteration   3: 9620.331 ops/ms
# Warmup Iteration   4: 8271.003 ops/ms
# Warmup Iteration   5: 9948.995 ops/ms
# Warmup Iteration   6: 9979.636 ops/ms
# Warmup Iteration   7: 9676.605 ops/ms
# Warmup Iteration   8: 10446.245 ops/ms
# Warmup Iteration   9: 10564.861 ops/ms
# Warmup Iteration  10: 10563.065 ops/ms
# Warmup Iteration  11: 10554.868 ops/ms
# Warmup Iteration  12: 10552.696 ops/ms
# Warmup Iteration  13: 10562.818 ops/ms
# Warmup Iteration  14: 10558.387 ops/ms
# Warmup Iteration  15: 10562.789 ops/ms
# Warmup Iteration  16: 10538.537 ops/ms
# Warmup Iteration  17: 9716.068 ops/ms
# Warmup Iteration  18: 9662.793 ops/ms
# Warmup Iteration  19: 9708.938 ops/ms
# Warmup Iteration  20: 9711.939 ops/ms
Iteration   1: 9723.048 ops/ms
Iteration   2: 9700.960 ops/ms
Iteration   3: 9698.413 ops/ms
Iteration   4: 9698.072 ops/ms
Iteration   5: 9712.177 ops/ms
Iteration   6: 9637.746 ops/ms
Iteration   7: 9727.481 ops/ms
Iteration   8: 9732.865 ops/ms
Iteration   9: 9729.322 ops/ms
Iteration  10: 9732.263 ops/ms
Iteration  11: 9735.895 ops/ms
Iteration  12: 9734.140 ops/ms
Iteration  13: 9729.008 ops/ms
Iteration  14: 9728.766 ops/ms
Iteration  15: 9733.949 ops/ms
Iteration  16: 9729.743 ops/ms
Iteration  17: 9731.553 ops/ms
Iteration  18: 9734.378 ops/ms
Iteration  19: 9731.854 ops/ms
Iteration  20: 9729.814 ops/ms

# Run progress: 20.00% complete, ETA 00:05:23
# Fork: 3 of 10
# Warmup Iteration   1: 6724.917 ops/ms
# Warmup Iteration   2: 9897.864 ops/ms
# Warmup Iteration   3: 10157.907 ops/ms
# Warmup Iteration   4: 10751.125 ops/ms
# Warmup Iteration   5: 10880.617 ops/ms
# Warmup Iteration   6: 10871.361 ops/ms
# Warmup Iteration   7: 10879.786 ops/ms
# Warmup Iteration   8: 10865.143 ops/ms
# Warmup Iteration   9: 10875.567 ops/ms
# Warmup Iteration  10: 10868.635 ops/ms
# Warmup Iteration  11: 10884.353 ops/ms
# Warmup Iteration  12: 10868.153 ops/ms
# Warmup Iteration  13: 10883.091 ops/ms
# Warmup Iteration  14: 10870.987 ops/ms
# Warmup Iteration  15: 10883.244 ops/ms
# Warmup Iteration  16: 10806.761 ops/ms
# Warmup Iteration  17: 10874.066 ops/ms
# Warmup Iteration  18: 10861.122 ops/ms
# Warmup Iteration  19: 10880.024 ops/ms
# Warmup Iteration  20: 10868.508 ops/ms
Iteration   1: 10880.544 ops/ms
Iteration   2: 10843.825 ops/ms
Iteration   3: 10877.514 ops/ms
Iteration   4: 10856.359 ops/ms
Iteration   5: 10876.650 ops/ms
Iteration   6: 10873.609 ops/ms
Iteration   7: 10872.404 ops/ms
Iteration   8: 10858.987 ops/ms
Iteration   9: 10863.765 ops/ms
Iteration  10: 10866.989 ops/ms
