,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,1,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,263012746.006,1,2,1
1,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,2,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,294821637.951,1,2,1
2,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,3,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,356984186.484,1,2,1
3,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,4,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357063633.650,1,2,1
4,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,5,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,356544356.579,1,2,1
5,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,6,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357072570.416,1,2,1
6,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,7,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357011602.812,1,2,1
7,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,8,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357078306.304,1,2,1
8,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,9,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357124523.961,1,2,1
9,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,10,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357031625.540,1,2,1
10,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,1,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,356947359.068,1,2,1
11,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,2,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,355320335.308,1,2,1
12,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,3,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,347355174.138,1,2,1
13,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,4,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,329331604.477,1,2,1
14,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,5,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,357043500.549,1,2,1
15,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,6,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,356861601.636,1,2,1
16,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,7,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,363226448.983,1,2,1
17,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,8,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,362964952.328,1,2,1
18,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,9,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,340072815.555,1,2,1
19,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,10,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,348381031.595,1,2,1
20,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,1,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,279365364.739,1,2,1
21,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,2,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,282204175.583,1,2,1
22,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,3,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,337626715.649,1,2,1
23,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,4,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,304545988.406,1,2,1
24,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,5,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,303094964.326,1,2,1
25,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,6,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,329803538.925,1,2,1
26,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,7,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,359795262.924,1,2,1
27,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,8,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,337266788.627,1,2,1
28,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,9,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,331611696.667,1,2,1
29,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,10,warmup,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,333663626.251,1,2,1
30,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,1,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,352445722.142,1,2,1
31,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,2,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,337992419.263,1,2,1
32,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,3,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,329950142.178,1,2,1
33,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,4,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,359885363.442,1,2,1
34,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,5,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,358746130.012,1,2,1
35,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,6,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,334118138.373,1,2,1
36,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,7,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,333535939.059,1,2,1
37,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,8,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,362299048.934,1,2,1
38,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,9,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,362514148.776,1,2,1
39,"Throughput, ops/time",MathOperationsBenchmark,2.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexConditionals,,10,measured,ops/s,nextIndexConditionals, io.netty.microbenchmark.common,340101483.538,1,2,1
40,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,1,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,318936362.894,1,2,1
41,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,2,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,329393697.068,1,2,1
42,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,3,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,370609428.573,1,2,1
43,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,4,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,370897862.230,1,2,1
44,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,5,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,347881321.855,1,2,1
45,"Throughput, ops/time",MathOperationsBenchmark,1.0, io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,,6,warmup,ops/s,nextIndexNoConditionals, io.netty.microbenchmark.common,345798723.076,1,2,1
