,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,1,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,9.244,1,1,1
1,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,2,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,8.425,1,1,1
2,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,3,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.985,1,1,1
3,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,4,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.986,1,1,1
4,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,5,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.990,1,1,1
5,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,1,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.990,1,1,1
6,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,2,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.984,1,1,1
7,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,3,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.989,1,1,1
8,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,4,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.994,1,1,1
9,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,5,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.984,1,1,1
10,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,1,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,13.014,1,1,1
11,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,2,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,11.523,1,1,1
12,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,3,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.930,1,1,1
13,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,4,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.930,1,1,1
14,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,5,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.924,1,1,1
15,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,1,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.913,1,1,1
16,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,2,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.914,1,1,1
17,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,3,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.920,1,1,1
18,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,4,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.917,1,1,1
19,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,5,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.924,1,1,1
20,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,1,warmup,ns/op,boolAsInt, org.postgresql.benchmark.statement,16.287,1,1,1
21,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,2,warmup,ns/op,boolAsInt, org.postgresql.benchmark.statement,17.980,1,1,1
22,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,3,warmup,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.957,1,1,1
23,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,4,warmup,ns/op,boolAsInt, org.postgresql.benchmark.statement,17.873,1,1,1
24,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,5,warmup,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.482,1,1,1
25,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,1,measured,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.483,1,1,1
26,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,2,measured,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.485,1,1,1
27,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,3,measured,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.487,1,1,1
28,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,4,measured,ns/op,boolAsInt, org.postgresql.benchmark.statement,14.485,1,1,1
29,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsInt,,5,measured,ns/op,boolAsInt, org.postgresql.benchmark.statement,17.806,1,1,1
0,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,1,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,9.212,1,1,10
1,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,2,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,8.401,1,1,10
2,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,3,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.991,1,1,10
3,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,4,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.982,1,1,10
4,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,5,warmup,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.984,1,1,10
5,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,1,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.982,1,1,10
6,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,2,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.979,1,1,10
7,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,3,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.985,1,1,10
8,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,4,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.983,1,1,10
9,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.bindBoolean,,5,measured,ns/op,bindBoolean, org.postgresql.benchmark.statement,7.979,1,1,10
10,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,1,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,12.654,1,1,10
11,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,2,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,11.502,1,1,10
12,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,3,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.923,1,1,10
13,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,4,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.916,1,1,10
14,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,5,warmup,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.921,1,1,10
15,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,1,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.919,1,1,10
16,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,2,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.891,1,1,10
17,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,3,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.917,1,1,10
18,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,4,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.919,1,1,10
19,"Average time, time/op",BindBoolean,1, org.postgresql.benchmark.statement.BindBoolean.boolAsBoolean,,5,measured,ns/op,boolAsBoolean, org.postgresql.benchmark.statement,10.923,1,1,10
