,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
0,"Throughput, ops/time",LoggerConfigBenchmark,small,0.171923139,FINA,0.989060789,20670534.39,,ops/s,logWithCountersAndLock,20899154.66, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.011060201
1,"Throughput, ops/time",LoggerConfigBenchmark,small,0.230763629,FINA,0.987554064,32156728.6,,ops/s,logWithCountersNoLocks,32561993.09, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.01260279
2,"Throughput, ops/time",LoggerConfigBenchmark,small,-0.271566783,FINA,1.037631081,30076298.78,,ops/s,logWithCountersRetryAfterReconfig,28985541.51, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,-1.037631081
3,"Throughput, ops/time",LoggerConfigBenchmark,small,0.154494407,FINA,0.996980855,39780586.37,,ops/s,logWithoutCountersOrLocks,39901053.43, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.003028288
4,"Throughput, ops/time",LoggerConfigBenchmark,negligible,-0.073979988,FINA,1.012820351,1940694386,,ops/s,testBaseline,1916128940, org.apache.logging.log4j.perf.jmh,log4j2,0,FALSE,-1.012820351
0,"Average time, time/op",SortedArrayVsHashMapBenchmark,medium,-0.3568,LOOP,1.053297328,37.055," (count = 5, length = 20)",ns/op,iterateMap,35.18, org.apache.logging.log4j.perf.jmh,log4j2,0,FALSE,1.053297328
1,"Average time, time/op",SortedArrayVsHashMapBenchmark,large,-0.8336,LOOP,1.074894099,3705.505," (count = 500, length = 20)",ns/op,iterateMap,3447.321, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.074894099
2,"Throughput, ops/time",CollectionsBenchmark,medium,0.461846867,LOOP,0.9798719,214003101.8,,ops/s,iterArrayList1Element,218399059.9, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.020541563
3,"Throughput, ops/time",CollectionsBenchmark,medium,0.406730698,LOOP,0.991152499,127590561.2,,ops/s,iterArrayList3Element,128729495.6, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.008926478
4,"Throughput, ops/time",CollectionsBenchmark,large,0.948536846,LOOP,0.910514509,206600351.4,,ops/s,iterArraySet1Element,226905062.3, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.098280137
5,"Throughput, ops/time",CollectionsBenchmark,large,-0.613065214,LOOP,1.027135214,124166183.1,,ops/s,iterArraySet3Element,120885917.9, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,-1.027135214
6,"Throughput, ops/time",CollectionsBenchmark,small,-0.215018535,LOOP,1.003284073,33233467.68,,ops/s,iterMap1Element,33124683.8, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,-1.003284073
7,"Throughput, ops/time",CollectionsBenchmark,large,0.581361591,LOOP,0.976588537,26170892.36,,ops/s,iterMap3Elements,26798279.28, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.023972699
0,"Throughput, ops/time",AbstractStringLayoutStringEncodingBenchmark,large,1,RETU,0.753155515,26806.528,,ops/ms,baseline,35592.288, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.327747032
1,"Throughput, ops/time",AbstractStringLayoutStringEncodingBenchmark,large,0.80315435,RETU,0.935868084,7868.368,,ops/ms,iso8859_1GetBytes,8407.561, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.068526663
2,"Throughput, ops/time",AbstractStringLayoutStringEncodingBenchmark,large,0.855518074,RETU,0.926922117,7929.536,,ops/ms,usAsciiGetBytes,8554.695, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.078839291
3,"Throughput, ops/time",AbstractStringLayoutStringEncodingBenchmark,small,0.227274,RETU,0.992192526,1217.7035,,ops/ms,utf16GetBytes,1227.2855, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.007868911
4,"Throughput, ops/time",AbstractStringLayoutStringEncodingBenchmark,large,0.659653542,RETU,0.948240373,10824.088,,ops/ms,utf8GetBytes,11414.92, org.apache.logging.log4j.perf.jmh,log4j2,0,TRUE,1.054584922
0,"Throughput, ops/time",MathOperationsBenchmark,negligible,0.078508955,FINA,1.033155857,354652132.9,,ops/s,nextIndexConditionals,343270698.7, io.netty.microbenchmark.common,netty,0,FALSE,-1.033155857
1,"Throughput, ops/time",MathOperationsBenchmark,large,-0.502091623,FINA,1.079904786,363517779.3,,ops/s,nextIndexNoConditionals,336620213.4, io.netty.microbenchmark.common,netty,0,TRUE,-1.079904786
0,"Throughput, ops/time",FastThreadLocalFastPathBenchmark,large,0.8018,LOOP,0.819167936,40372.559,,ops/s,fastThreadLocal,49284.838, io.netty.microbench.concurrent,netty,0,TRUE,1.220750907
1,"Throughput, ops/time",FastThreadLocalFastPathBenchmark,large,0.9928,LOOP,0.693624043,53313.8705,,ops/s,jdkThreadLocalGet,76862.7775, io.netty.microbench.concurrent,netty,0,TRUE,1.441703196
2,"Throughput, ops/time",FastThreadLocalSlowPathBenchmark,large,0.913,LOOP,0.725972251,40933.5635,,ops/s,fastThreadLocal,56384.474, io.netty.microbench.concurrent,netty,0,TRUE,1.377463118
3,"Throughput, ops/time",FastThreadLocalSlowPathBenchmark,large,1,LOOP,0.715151344,53565.593,,ops/s,jdkThreadLocalGet,74901.059, io.netty.microbench.concurrent,netty,0,TRUE,1.39830542
4,"Throughput, ops/time",HttpMethodMapBenchmark,large,1,LOOP,0.726384638,17.325,,ops/us,newMapKnownMethods,23.851, io.netty.handler.codec.http,netty,0,TRUE,1.376681097
5,"Throughput, ops/time",HttpMethodMapBenchmark,large,1,LOOP,0.789672582,13.06,,ops/us,newMapMixMethods,16.5385, io.netty.handler.codec.http,netty,0,TRUE,1.266347626
6,"Throughput, ops/time",HttpMethodMapBenchmark,large,0.705495914,LOOP,0.934618656,32.964,,ops/us,newMapUnknownMethods,35.27, io.netty.handler.codec.http,netty,0,TRUE,1.069955103
7,"Throughput, ops/time",HttpMethodMapBenchmark,large,1,LOOP,0.735699099,14.533,,ops/us,oldMapKnownMethods,19.754, io.netty.handler.codec.http,netty,0,TRUE,1.359251359
8,"Throughput, ops/time",HttpMethodMapBenchmark,large,1,LOOP,0.749861898,10.8595,,ops/us,oldMapMixMethods,14.482, io.netty.handler.codec.http,netty,0,TRUE,1.333578894
9,"Throughput, ops/time",HttpMethodMapBenchmark,large,-0.811176041,LOOP,1.146350723,43.782,,ops/us,oldMapUnknownMethods,38.1925, io.netty.handler.codec.http,netty,0,TRUE,-1.146350723
0,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.88863957,1501239.845, (size = 00000),ops/s,recycleSameThread,1689368.667, io.netty.microbench.internal,netty,0,TRUE,1.125315633
1,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.891433074,1500048.159, (size = 00256),ops/s,recycleSameThread,1682737.832, io.netty.microbench.internal,netty,0,TRUE,1.121789205
2,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.891722067,1499763.985, (size = 01024),ops/s,recycleSameThread,1681873.804, io.netty.microbench.internal,netty,0,TRUE,1.121425652
3,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.888532259,1501877.088, (size = 04096),ops/s,recycleSameThread,1690289.883, io.netty.microbench.internal,netty,0,TRUE,1.125451541
4,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.89075254,1491766.759, (size = 16384),ops/s,recycleSameThread,1674726.36, io.netty.microbench.internal,netty,0,TRUE,1.122646251
5,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.890652125,1497404.567, (size = 65536),ops/s,recycleSameThread,1681245.152, io.netty.microbench.internal,netty,0,TRUE,1.122772822
0,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.99377483,31.768,,ops/us,newMapKnownMethods,31.967, io.netty.handler.codec.http,netty,0,,1.006264165
1,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.886281277,20.544,,ops/us,newMapMixMethods,23.18, io.netty.handler.codec.http,netty,0,,1.128309969
2,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.92162219,41.667,,ops/us,newMapUnknownMethods,45.2105, io.netty.handler.codec.http,netty,0,,1.08504332
3,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.814455527,20.8635,,ops/us,oldMapKnownMethods,25.6165, io.netty.handler.codec.http,netty,0,,1.227814125
4,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.851946305,15.2,,ops/us,oldMapMixMethods,17.8415, io.netty.handler.codec.http,netty,0,,1.173782895
5,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.73577588,35.666,,ops/us,oldMapUnknownMethods,48.474, io.netty.handler.codec.http,netty,0,,1.359109516
0,"Average time, time/op",HeadersBenchmark,large,0.961544949,INVO,0.928836672,180.094, (exampleHeader = EIGHT),ns/op,http2AddAllFast,193.892, io.netty.microbench.headers,netty,0,TRUE,-1.076615545
1,"Average time, time/op",HeadersBenchmark,large,0.848514432,INVO,0.948300528,246.579, (exampleHeader = ELEVEN),ns/op,http2AddAllFast,260.022, io.netty.microbench.headers,netty,0,TRUE,-1.054518025
