Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",0,12.800999999999998,24.799,1.9372705257401768,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = enumerate, strategy = none)",0,4.251,21.234,4.995059985885674,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = sequential, strategy = lz4)",0,13.669,25.734,1.882654180993489,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = sequential, strategy = none)",0,4.249,21.250999999999998,5.001412096963992,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = uniform, strategy = lz4)",0,11.8695,24.055999999999997,2.0267071064493027,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = uniform, strategy = none)",0,4.251,21.663,5.095977417078334,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",0,15.05,27.244,1.8102325581395349,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",0,4.247,21.2485,5.0031787143866255,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",0,19.546,31.552,1.6142433234421365,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readContinuous," (dirPath = floatCompress/, file = zipfLow, strategy = none)",0,4.249,21.660999999999998,5.0979053895034125,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",0,3.094,3.0989999999999998,1.0016160310277957,True,large,-0.7525694444444444
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = enumerate, strategy = none)",0,0.153,0.158,1.0326797385620916,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = sequential, strategy = lz4)",0,3.9219999999999997,3.923,1.0002549719530853,False,negligible,0.1151431026505387
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = sequential, strategy = none)",0,0.152,0.157,1.0328947368421053,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = uniform, strategy = lz4)",0,2.148,2.142,0.9972067039106144,False,negligible,0.049110978914667196
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = uniform, strategy = none)",0,0.153,0.158,1.0326797385620916,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",0,5.3420000000000005,5.348,1.0011231748408835,True,large,-0.713398109590852
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",0,0.154,0.159,1.0324675324675325,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",0,9.834,9.833,0.9998983119788489,False,negligible,0.084864
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfLow, strategy = none)",0,0.153,0.158,1.0326797385620916,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = auto, strategy = lz4)",0,27.833000000000002,37.097,1.3328423094887363,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = auto, strategy = none)",0,8.074,35.454499999999996,4.391193955907852,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",0,15.780999999999999,25.018,1.5853241239465181,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",0,4.612500000000001,23.384,5.06970189701897,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = auto, strategy = lz4)",0,27.14,36.942,1.3611643330876935,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = auto, strategy = none)",0,8.359,34.385999999999996,4.1136499581289625,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = longs, strategy = lz4)",0,46.29600000000001,55.457,1.197878866424745,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",0,4.615,23.75,5.14626218851571,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = auto, strategy = lz4)",0,30.104,38.763000000000005,1.2876361945256447,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = auto, strategy = none)",0,12.183,38.239000000000004,3.138717885578265,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = longs, strategy = lz4)",0,23.778000000000002,32.999,1.3877954411641011,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",0,4.613,23.434,5.07999132885324,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = lz4)",0,25.095,32.6755,1.3020721259214985,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = none)",0,3.065,29.816,9.7278955954323,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = lz4)",0,17.783,27.0175,1.519288084125288,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",0,4.61,23.444000000000003,5.085466377440348,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = lz4)",0,33.727,42.418,1.257686719838705,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = none)",0,12.183,38.243,3.139046211934663,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = lz4)",0,25.7915,35.043000000000006,1.3587034488106549,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readContinuous," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",0,4.575,23.436999999999998,5.122841530054644,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = auto, strategy = lz4)",0,1.248,1.263,1.0120192307692306,True,large,-0.9747379736629939
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = auto, strategy = none)",0,0.076,0.084,1.105263157894737,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",0,4.74,4.746,1.0012658227848101,True,large,-0.6887388681413387
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",0,0.235,0.239,1.0170212765957447,True,small,-0.30497719611342455
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = auto, strategy = lz4)",0,1.176,1.185,1.0076530612244898,True,large,-0.6318762799237342
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = auto, strategy = none)",0,0.11,0.11699999999999999,1.0636363636363635,True,large,-0.9952969631819404
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = longs, strategy = lz4)",0,35.246,35.235,0.9996879078476989,True,medium,0.41807125388327054
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",0,0.235,0.24,1.0212765957446808,True,small,-0.2787377911344853
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = auto, strategy = lz4)",0,0.626,0.6409999999999999,1.023961661341853,True,large,-0.9526671675432006
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = auto, strategy = none)",0,0.083,0.09,1.0843373493975903,True,large,-0.845897920604915
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = longs, strategy = lz4)",0,12.734000000000002,12.743,1.0007067692790952,True,large,-0.5871405536146197
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",0,0.235,0.239,1.0170212765957447,True,small,-0.2793737431772479
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = lz4)",0,2.367,2.38,1.0054921841994084,True,large,-0.9685813810532068
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = none)",0,0.076,0.08,1.0526315789473684,True,large,-0.8447020126869763
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = lz4)",0,6.734,6.736000000000001,1.0002970002970004,False,small,-0.20510278273514443
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",0,0.235,0.239,1.0170212765957447,True,small,-0.25725584351387615
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = lz4)",0,4.263999999999999,4.285,1.004924953095685,True,large,-0.9213431158701831
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = none)",0,0.084,0.09,1.0714285714285714,True,large,-1.0
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = lz4)",0,14.767000000000001,14.7695,1.0001692964041444,True,medium,-0.444101048105348
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",0,0.2345,0.239,1.019189765458422,True,small,-0.2901307966706302
"Average time, time/op",us/op, io.druid.benchmark,FilterPartitionBenchmark,timeFilterNone," (rowsPerSegment = 750000, schema = basic)",0,116071.06800000001,115963.15,0.9990702420348194,False,negligible,0.046380496980678754
"Average time, time/op",us/op, io.druid.server.coordinator,CachingCostBalancerStrategyBenchmark,measureCachingCostStrategy," (rowsPerSegment = 750000, schema = basic)",0,1.631,2.69,1.6492949110974862,True,large,-1.0
"Average time, time/op",us/op, io.druid.server.coordinator,CachingCostBalancerStrategyBenchmark,measureCostStrategy," (rowsPerSegment = 750000, schema = basic)",0,22054.1045,21544.678999999996,0.9769011024682501,False,negligible,0.1336
"Average time, time/op",us/op, io.druid.server.coordinator,CostBalancerStrategyBenchmark,measureCostStrategySingle," (rowsPerSegment = 750000, schema = basic)",0,837.3580000000001,863.591,1.031328296857497,True,large,-1.0
