,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,99.343,1,5,1
1,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.077,1,5,1
2,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.303,1,5,1
3,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.352,1,5,1
4,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.466,1,5,1
5,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.752,1,5,1
6,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.795,1,5,1
7,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.592,1,5,1
8,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.683,1,5,1
9,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.405,1,5,1
10,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,99.517,1,5,1
11,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,103.594,1,5,1
12,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,103.646,1,5,1
13,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.119,1,5,1
14,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,103.887,1,5,1
15,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.051,1,5,1
16,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,103.911,1,5,1
17,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.195,1,5,1
18,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.240,1,5,1
19,"Throughput, ops/time",CollectIfTest,2.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.084,1,5,1
20,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,100.699,1,5,1
21,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.884,1,5,1
22,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.870,1,5,1
23,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.229,1,5,1
24,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.903,1,5,1
25,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.318,1,5,1
26,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.132,1,5,1
27,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.405,1,5,1
28,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.180,1,5,1
29,"Throughput, ops/time",CollectIfTest,3.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.469,1,5,1
30,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,101.132,1,5,1
31,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,104.937,1,5,1
32,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.258,1,5,1
33,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.749,1,5,1
34,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.548,1,5,1
35,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.005,1,5,1
36,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.623,1,5,1
37,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.417,1,5,1
38,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,106.005,1,5,1
39,"Throughput, ops/time",CollectIfTest,4.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.728,1,5,1
40,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,101.147,1,5,1
41,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.843,1,5,1
42,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.645,1,5,1
43,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.775,1,5,1
44,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,warmup,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.819,1,5,1
45,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,1,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.498,1,5,1
46,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,2,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.827,1,5,1
47,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,3,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.825,1,5,1
48,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,4,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.995,1,5,1
49,"Throughput, ops/time",CollectIfTest,5.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_eager_gsc,,5,measured,ops/s,parallel_eager_gsc, com.gs.collections.impl.jmh,105.625,1,5,1
50,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_lazy_gsc,,1,warmup,ops/s,parallel_lazy_gsc, com.gs.collections.impl.jmh,95.170,1,5,1
51,"Throughput, ops/time",CollectIfTest,1.0, com.gs.collections.impl.jmh.CollectIfTest.parallel_lazy_gsc,,2,warmup,ops/s,parallel_lazy_gsc, com.gs.collections.impl.jmh,98.767,1,5,1
