,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,271.104,1,5,1
1,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.717,1,5,1
2,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.636,1,5,1
3,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.464,1,5,1
4,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,299.847,1,5,1
5,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.112,1,5,1
6,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.689,1,5,1
7,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.292,1,5,1
8,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,302.027,1,5,1
9,"Throughput, ops/time",FlatCollectTest,1.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.407,1,5,1
10,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,274.336,1,5,1
11,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,303.171,1,5,1
12,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.640,1,5,1
13,"Throughput, ops/time",FlatCollectTest,2.0, com.gs.collections.impl.jmh.FlatCollectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,301.932,1,5,1
