"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,4.787334,0.042386,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.517723,0.079791,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.732522,0.004968,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.506094,0.027638,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.639871,0.028700,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.109537,0.005298,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.195156,0.005428,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.945006,0.003116,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.950414,0.020523,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.918960,0.023833,"ops/s",false,100000
