"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,5.548266,0.033529,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.493271,0.068099,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.756959,0.005579,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.501082,0.014467,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.542415,0.040398,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.222649,0.040060,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.186849,0.003868,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.926084,0.005606,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.960458,0.010850,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.923601,0.029298,"ops/s",false,100000
