"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,16.800809,0.142799,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.467700,0.060305,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.080711,0.072984,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.267092,0.058120,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.615092,0.061349,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.909771,0.299192,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,6.595956,0.042310,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,3.428538,0.018474,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.717123,0.020986,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.689254,0.061049,"ops/s",false,100000
