,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.055,1,5,1
1,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.756,1,5,1
2,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.800,1,5,1
3,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.982,1,5,1
4,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.590,1,5,1
5,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.902,1,5,1
6,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.656,1,5,1
7,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.530,1,5,1
8,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,72.073,1,5,1
9,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.824,1,5,1
10,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,64.382,1,5,1
11,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.030,1,5,1
12,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.289,1,5,1
13,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,62.775,1,5,1
14,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.194,1,5,1
15,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.908,1,5,1
16,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,74.215,1,5,1
17,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,73.730,1,5,1
18,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,73.632,1,5,1
19,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,74.577,1,5,1
20,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.708,1,5,1
21,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.366,1,5,1
22,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.305,1,5,1
23,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.781,1,5,1
24,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.612,1,5,1
25,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.636,1,5,1
26,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.572,1,5,1
27,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.951,1,5,1
28,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,72.414,1,5,1
29,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,72.414,1,5,1
30,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.290,1,5,1
31,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.829,1,5,1
32,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.567,1,5,1
33,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.556,1,5,1
34,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.216,1,5,1
35,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.453,1,5,1
36,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.257,1,5,1
37,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.917,1,5,1
38,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.144,1,5,1
39,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.989,1,5,1
40,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.438,1,5,1
41,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.961,1,5,1
42,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.926,1,5,1
43,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.269,1,5,1
44,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.351,1,5,1
45,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.514,1,5,1
46,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.788,1,5,1
47,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.183,1,5,1
48,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.872,1,5,1
49,"Throughput, ops/time",RejectTest,5.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.823,1,5,1
50,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc_select_predicates_not,,1,warmup,ops/s,serial_eager_gsc_select_predicates_not, com.gs.collections.impl.jmh,58.241,1,5,1
51,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc_select_predicates_not,,2,warmup,ops/s,serial_eager_gsc_select_predicates_not, com.gs.collections.impl.jmh,59.702,1,5,1
