,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,136.183,1,5,1
1,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,132.880,1,5,1
2,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,130.859,1,5,1
3,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,125.658,1,5,1
4,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,129.831,1,5,1
5,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,128.122,1,5,1
6,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,135.508,1,5,1
7,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,134.406,1,5,1
8,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,135.493,1,5,1
9,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,135.508,1,5,1
10,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,146.769,1,5,1
11,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,143.797,1,5,1
12,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,139.943,1,5,1
13,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,141.882,1,5,1
14,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,141.587,1,5,1
15,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,145.001,1,5,1
16,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,140.063,1,5,1
17,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,145.350,1,5,1
18,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,134.394,1,5,1
19,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,145.399,1,5,1
20,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,135.641,1,5,1
21,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,134.324,1,5,1
22,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,124.090,1,5,1
23,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,132.306,1,5,1
24,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,129.034,1,5,1
25,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,135.945,1,5,1
26,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,133.681,1,5,1
27,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,130.521,1,5,1
28,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,131.265,1,5,1
29,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,138.853,1,5,1
30,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,138.187,1,5,1
31,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,135.760,1,5,1
32,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,140.369,1,5,1
33,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,133.409,1,5,1
34,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,125.021,1,5,1
35,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,132.285,1,5,1
36,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,126.608,1,5,1
37,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,127.668,1,5,1
38,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,134.114,1,5,1
39,"Throughput, ops/time",SetAddAllTest,4.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,130.409,1,5,1
40,"Throughput, ops/time",SetAddAllTest,5.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,137.396,1,5,1
41,"Throughput, ops/time",SetAddAllTest,5.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,134.519,1,5,1
42,"Throughput, ops/time",SetAddAllTest,5.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,133.618,1,5,1
43,"Throughput, ops/time",SetAddAllTest,5.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,132.986,1,5,1
