,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),1,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,47.933,1,2,1
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),2,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,56.220,1,2,1
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),3,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,59.788,1,2,1
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),4,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.394,1,2,1
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),5,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.368,1,2,1
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),6,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.692,1,2,1
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),7,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.990,1,2,1
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),8,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.478,1,2,1
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),9,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,61.696,1,2,1
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),10,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,60.325,1,2,1
