,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),1,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,24.710,1,2,1
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),2,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,34.922,1,2,1
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),3,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,36.718,1,2,1
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),4,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.561,1,2,1
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),5,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,37.741,1,2,1
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),6,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.654,1,2,1
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),7,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.822,1,2,1
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),8,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.639,1,2,1
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),9,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.266,1,2,1
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala, (megamorphicWarmupLevel = 0),10,warmup,ops/s,parallel_lazy_scala, com.gs.collections.impl.jmh,38.450,1,2,1
