,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),1,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,55.911,1,2,1
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),2,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,66.137,1,2,1
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),3,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,70.556,1,2,1
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),4,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,75.088,1,2,1
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),5,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.237,1,2,1
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),6,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.673,1,2,1
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),7,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.590,1,2,1
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),8,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,72.825,1,2,1
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),9,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.015,1,2,1
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),10,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.547,1,2,1
10,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),11,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.196,1,2,1
11,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),12,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.579,1,2,1
12,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),13,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.670,1,2,1
13,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),14,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.896,1,2,1
14,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),15,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.181,1,2,1
15,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),16,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.549,1,2,1
16,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),17,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.381,1,2,1
17,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),18,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.963,1,2,1
18,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),19,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.622,1,2,1
19,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),20,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.959,1,2,1
20,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),1,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.845,1,2,1
21,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),2,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.343,1,2,1
22,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),3,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.363,1,2,1
23,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),4,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.814,1,2,1
24,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),5,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.413,1,2,1
25,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),6,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.529,1,2,1
26,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),7,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.741,1,2,1
27,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),8,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.617,1,2,1
28,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),9,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,74.624,1,2,1
29,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),10,measured,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,73.801,1,2,1
30,"Throughput, ops/time",FunctionalInterfaceTest,2.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded, (megamorphicWarmupLevel = 0),1,warmup,ops/s,parallel_lazy_scala_hand_coded, com.gs.collections.impl.jmh,47.310,1,2,1
