# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala
# Parameters: (megamorphicWarmupLevel = 0)

# Run progress: 0.00% complete, ETA 00:16:00
# Fork: 1 of 2
# Warmup Iteration   1: 24.927 ops/s
# Warmup Iteration   2: 35.124 ops/s
# Warmup Iteration   3: 36.858 ops/s
# Warmup Iteration   4: 38.359 ops/s
# Warmup Iteration   5: 37.554 ops/s
# Warmup Iteration   6: 38.412 ops/s
# Warmup Iteration   7: 38.548 ops/s
# Warmup Iteration   8: 38.229 ops/s
# Warmup Iteration   9: 38.156 ops/s
# Warmup Iteration  10: 38.344 ops/s
# Warmup Iteration  11: 38.280 ops/s
# Warmup Iteration  12: 37.669 ops/s
# Warmup Iteration  13: 38.414 ops/s
# Warmup Iteration  14: 38.146 ops/s
# Warmup Iteration  15: 38.195 ops/s
# Warmup Iteration  16: 38.801 ops/s
# Warmup Iteration  17: 37.799 ops/s
# Warmup Iteration  18: 38.203 ops/s
# Warmup Iteration  19: 38.256 ops/s
# Warmup Iteration  20: 38.081 ops/s
Iteration   1: 38.063 ops/s
Iteration   2: 38.782 ops/s
Iteration   3: 38.121 ops/s
Iteration   4: 38.194 ops/s
Iteration   5: 38.580 ops/s
Iteration   6: 38.125 ops/s
Iteration   7: 38.118 ops/s
Iteration   8: 38.453 ops/s
Iteration   9: 38.291 ops/s
Iteration  10: 38.405 ops/s

# Run progress: 6.25% complete, ETA 00:15:17
# Fork: 2 of 2
# Warmup Iteration   1: 24.969 ops/s
# Warmup Iteration   2: 35.182 ops/s
# Warmup Iteration   3: 37.048 ops/s
# Warmup Iteration   4: 38.531 ops/s
# Warmup Iteration   5: 37.979 ops/s
# Warmup Iteration   6: 38.102 ops/s
# Warmup Iteration   7: 38.755 ops/s
# Warmup Iteration   8: 38.042 ops/s
# Warmup Iteration   9: 38.655 ops/s
# Warmup Iteration  10: 38.451 ops/s
# Warmup Iteration  11: 38.054 ops/s
# Warmup Iteration  12: 38.284 ops/s
# Warmup Iteration  13: 38.670 ops/s
# Warmup Iteration  14: 38.096 ops/s
# Warmup Iteration  15: 38.355 ops/s
# Warmup Iteration  16: 38.514 ops/s
# Warmup Iteration  17: 38.302 ops/s
# Warmup Iteration  18: 38.267 ops/s
# Warmup Iteration  19: 38.534 ops/s
# Warmup Iteration  20: 38.054 ops/s
Iteration   1: 38.122 ops/s
Iteration   2: 38.438 ops/s
Iteration   3: 37.965 ops/s
Iteration   4: 37.937 ops/s
Iteration   5: 38.716 ops/s
Iteration   6: 38.490 ops/s
Iteration   7: 37.941 ops/s
Iteration   8: 38.497 ops/s
Iteration   9: 38.225 ops/s
Iteration  10: 37.830 ops/s


Result "com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala":
  38.265 ±(99.9%) 0.234 ops/s [Average]
  (min, avg, max) = (37.830, 38.265, 38.782), stdev = 0.270
  CI (99.9%): [38.031, 38.499] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala
# Parameters: (megamorphicWarmupLevel = 1)

# Run progress: 12.50% complete, ETA 00:14:15
# Fork: 1 of 2
# Warmup Iteration   1: 32.144 ops/s
# Warmup Iteration   2: 35.328 ops/s
# Warmup Iteration   3: 35.601 ops/s
# Warmup Iteration   4: 37.407 ops/s
# Warmup Iteration   5: 37.544 ops/s
# Warmup Iteration   6: 37.143 ops/s
# Warmup Iteration   7: 37.664 ops/s
# Warmup Iteration   8: 37.328 ops/s
# Warmup Iteration   9: 37.495 ops/s
# Warmup Iteration  10: 37.319 ops/s
# Warmup Iteration  11: 37.155 ops/s
# Warmup Iteration  12: 38.122 ops/s
# Warmup Iteration  13: 37.580 ops/s
# Warmup Iteration  14: 37.318 ops/s
# Warmup Iteration  15: 37.752 ops/s
# Warmup Iteration  16: 37.246 ops/s
# Warmup Iteration  17: 37.533 ops/s
# Warmup Iteration  18: 37.147 ops/s
# Warmup Iteration  19: 37.440 ops/s
# Warmup Iteration  20: 37.676 ops/s
Iteration   1: 37.180 ops/s
Iteration   2: 37.576 ops/s
Iteration   3: 38.029 ops/s
Iteration   4: 37.165 ops/s
Iteration   5: 37.109 ops/s
Iteration   6: 37.539 ops/s
Iteration   7: 37.366 ops/s
Iteration   8: 37.078 ops/s
Iteration   9: 37.450 ops/s
Iteration  10: 37.722 ops/s

# Run progress: 18.75% complete, ETA 00:13:32
# Fork: 2 of 2
# Warmup Iteration   1: 32.669 ops/s
# Warmup Iteration   2: 36.066 ops/s
# Warmup Iteration   3: 36.386 ops/s
# Warmup Iteration   4: 38.193 ops/s
# Warmup Iteration   5: 38.015 ops/s
# Warmup Iteration   6: 38.401 ops/s
# Warmup Iteration   7: 38.260 ops/s
# Warmup Iteration   8: 37.831 ops/s
# Warmup Iteration   9: 38.288 ops/s
# Warmup Iteration  10: 38.612 ops/s
# Warmup Iteration  11: 38.212 ops/s
# Warmup Iteration  12: 38.249 ops/s
# Warmup Iteration  13: 38.100 ops/s
# Warmup Iteration  14: 37.844 ops/s
# Warmup Iteration  15: 37.982 ops/s
# Warmup Iteration  16: 38.703 ops/s
# Warmup Iteration  17: 37.628 ops/s
# Warmup Iteration  18: 38.664 ops/s
# Warmup Iteration  19: 38.205 ops/s
# Warmup Iteration  20: 38.084 ops/s
Iteration   1: 37.646 ops/s
Iteration   2: 38.393 ops/s
Iteration   3: 38.369 ops/s
Iteration   4: 38.343 ops/s
Iteration   5: 38.672 ops/s
Iteration   6: 38.040 ops/s
Iteration   7: 37.988 ops/s
Iteration   8: 38.294 ops/s
Iteration   9: 38.361 ops/s
Iteration  10: 38.431 ops/s


Result "com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala":
  37.838 ±(99.9%) 0.448 ops/s [Average]
  (min, avg, max) = (37.078, 37.838, 38.672), stdev = 0.516
  CI (99.9%): [37.390, 38.285] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala
# Parameters: (megamorphicWarmupLevel = 2)

# Run progress: 25.00% complete, ETA 00:12:37
# Fork: 1 of 2
# Warmup Iteration   1: 31.861 ops/s
# Warmup Iteration   2: 36.476 ops/s
# Warmup Iteration   3: 36.061 ops/s
# Warmup Iteration   4: 37.486 ops/s
# Warmup Iteration   5: 37.964 ops/s
# Warmup Iteration   6: 37.740 ops/s
# Warmup Iteration   7: 38.369 ops/s
# Warmup Iteration   8: 37.704 ops/s
# Warmup Iteration   9: 37.395 ops/s
# Warmup Iteration  10: 38.455 ops/s
# Warmup Iteration  11: 38.190 ops/s
# Warmup Iteration  12: 38.272 ops/s
