"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,4.813214,0.065317,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.256232,0.013649,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.762744,0.009177,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.525149,0.024586,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.683924,0.053308,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.145941,0.011427,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.197447,0.006315,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.942395,0.003805,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.936367,0.028232,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.922546,0.023856,"ops/s",false,100000
