,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",1,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,3.681,1,5,1
1,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",2,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.302,1,5,1
2,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",3,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.898,1,5,1
3,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",4,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.858,1,5,1
4,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",5,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.870,1,5,1
5,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",6,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.896,1,5,1
6,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",7,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.903,1,5,1
7,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",8,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.904,1,5,1
8,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",9,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.864,1,5,1
9,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",10,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.814,1,5,1
10,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",11,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.858,1,5,1
11,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",12,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.855,1,5,1
12,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",13,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.848,1,5,1
13,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",14,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.858,1,5,1
14,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",15,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.859,1,5,1
15,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",16,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.838,1,5,1
16,"Throughput, ops/time",LongIntMapTest,1.0, com.gs.collections.impl.jmh.LongIntMapTest.presizedPut," (fullyRandom = true, mapSizeDividedBy16000 = 1)",17,warmup,ops/s,presizedPut, com.gs.collections.impl.jmh,4.812,1,5,1
