"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,5.375593,0.048752,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.553400,0.012662,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.755764,0.008919,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.502582,0.012039,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.617263,0.034087,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.225950,0.050702,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.190143,0.004857,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.954164,0.019384,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.941647,0.023302,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.930628,0.033335,"ops/s",false,100000
