"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,19.447629,0.156068,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,7.770777,0.032908,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,6.945068,0.069833,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.286789,0.029290,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,2.500526,0.078301,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,8.839128,0.091643,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,6.753891,0.066016,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,3.411509,0.013627,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.684325,0.046124,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.remove","thrpt",1,50,1.716367,0.036518,"ops/s",false,100000
