,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,65.867,1,5,1
1,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.156,1,5,1
2,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.081,1,5,1
3,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.640,1,5,1
4,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.050,1,5,1
5,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.920,1,5,1
6,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.931,1,5,1
7,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.813,1,5,1
8,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.739,1,5,1
9,"Throughput, ops/time",RejectTest,1.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.335,1,5,1
10,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,65.522,1,5,1
11,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.172,1,5,1
12,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.620,1,5,1
13,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,65.904,1,5,1
14,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.632,1,5,1
15,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.750,1,5,1
16,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.926,1,5,1
17,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.372,1,5,1
18,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.264,1,5,1
19,"Throughput, ops/time",RejectTest,2.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.347,1,5,1
20,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.940,1,5,1
21,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.818,1,5,1
22,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.870,1,5,1
23,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,68.317,1,5,1
24,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.817,1,5,1
25,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.863,1,5,1
26,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.010,1,5,1
27,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,71.037,1,5,1
28,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.740,1,5,1
29,"Throughput, ops/time",RejectTest,3.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.768,1,5,1
30,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,67.983,1,5,1
31,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,2,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,70.718,1,5,1
32,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,3,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,69.488,1,5,1
33,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,4,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,66.735,1,5,1
34,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,5,warmup,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,74.086,1,5,1
35,"Throughput, ops/time",RejectTest,4.0, com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc,,1,measured,ops/s,serial_eager_gsc, com.gs.collections.impl.jmh,72.231,1,5,1
