,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,144.348,1,5,1
1,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,139.007,1,5,1
2,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,129.812,1,5,1
3,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,144.011,1,5,1
4,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,138.462,1,5,1
5,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,142.653,1,5,1
6,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,145.262,1,5,1
7,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,140.486,1,5,1
8,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,134.909,1,5,1
9,"Throughput, ops/time",SetAddAllTest,1.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,139.090,1,5,1
10,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,132.608,1,5,1
11,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,129.010,1,5,1
12,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,126.196,1,5,1
13,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,133.030,1,5,1
14,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,129.414,1,5,1
15,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,133.025,1,5,1
16,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,133.778,1,5,1
17,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,measured,ops/s,gsc, com.gs.collections.impl.jmh,130.056,1,5,1
18,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,measured,ops/s,gsc, com.gs.collections.impl.jmh,138.544,1,5,1
19,"Throughput, ops/time",SetAddAllTest,2.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,measured,ops/s,gsc, com.gs.collections.impl.jmh,135.500,1,5,1
20,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,warmup,ops/s,gsc, com.gs.collections.impl.jmh,145.174,1,5,1
21,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,warmup,ops/s,gsc, com.gs.collections.impl.jmh,143.955,1,5,1
22,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,3,warmup,ops/s,gsc, com.gs.collections.impl.jmh,140.444,1,5,1
23,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,4,warmup,ops/s,gsc, com.gs.collections.impl.jmh,132.032,1,5,1
24,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,5,warmup,ops/s,gsc, com.gs.collections.impl.jmh,138.059,1,5,1
25,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,1,measured,ops/s,gsc, com.gs.collections.impl.jmh,139.150,1,5,1
26,"Throughput, ops/time",SetAddAllTest,3.0, com.gs.collections.impl.jmh.SetAddAllTest.gsc,,2,measured,ops/s,gsc, com.gs.collections.impl.jmh,133.189,1,5,1
