,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),1,warmup,ns/op,measureImputeMissingTraining, hex.pca,1877277.856,1,5,1
1,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),2,warmup,ns/op,measureImputeMissingTraining, hex.pca,740234.065,1,5,1
2,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),3,warmup,ns/op,measureImputeMissingTraining, hex.pca,797265.253,1,5,1
3,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),4,warmup,ns/op,measureImputeMissingTraining, hex.pca,871763.848,1,5,1
4,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),5,warmup,ns/op,measureImputeMissingTraining, hex.pca,1288803.351,1,5,1
5,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),6,warmup,ns/op,measureImputeMissingTraining, hex.pca,5022866.972,1,5,1
6,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),7,warmup,ns/op,measureImputeMissingTraining, hex.pca,1143109.219,1,5,1
7,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),8,warmup,ns/op,measureImputeMissingTraining, hex.pca,1205216.720,1,5,1
8,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),9,warmup,ns/op,measureImputeMissingTraining, hex.pca,1286016.819,1,5,1
9,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),10,warmup,ns/op,measureImputeMissingTraining, hex.pca,1561970.951,1,5,1
10,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),11,warmup,ns/op,measureImputeMissingTraining, hex.pca,1550417.684,1,5,1
11,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),12,warmup,ns/op,measureImputeMissingTraining, hex.pca,1242667.401,1,5,1
12,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),13,warmup,ns/op,measureImputeMissingTraining, hex.pca,1674430.690,1,5,1
13,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),14,warmup,ns/op,measureImputeMissingTraining, hex.pca,1605762.767,1,5,1
14,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),15,warmup,ns/op,measureImputeMissingTraining, hex.pca,1601919.061,1,5,1
15,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),16,warmup,ns/op,measureImputeMissingTraining, hex.pca,2332999.307,1,5,1
16,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),17,warmup,ns/op,measureImputeMissingTraining, hex.pca,1665991.171,1,5,1
17,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),18,warmup,ns/op,measureImputeMissingTraining, hex.pca,1862406.756,1,5,1
18,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),19,warmup,ns/op,measureImputeMissingTraining, hex.pca,1992393.552,1,5,1
19,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),20,warmup,ns/op,measureImputeMissingTraining, hex.pca,2184612.885,1,5,1
20,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),21,warmup,ns/op,measureImputeMissingTraining, hex.pca,1805452.289,1,5,1
21,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),22,warmup,ns/op,measureImputeMissingTraining, hex.pca,2233232.162,1,5,1
22,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),23,warmup,ns/op,measureImputeMissingTraining, hex.pca,2290983.215,1,5,1
23,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),24,warmup,ns/op,measureImputeMissingTraining, hex.pca,2275682.779,1,5,1
24,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),25,warmup,ns/op,measureImputeMissingTraining, hex.pca,1893432.639,1,5,1
25,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),26,warmup,ns/op,measureImputeMissingTraining, hex.pca,2401266.405,1,5,1
26,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),27,warmup,ns/op,measureImputeMissingTraining, hex.pca,2398535.617,1,5,1
27,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),28,warmup,ns/op,measureImputeMissingTraining, hex.pca,2198134.029,1,5,1
28,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),29,warmup,ns/op,measureImputeMissingTraining, hex.pca,2507944.081,1,5,1
29,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),30,warmup,ns/op,measureImputeMissingTraining, hex.pca,2259151.764,1,5,1
30,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),1,measured,ns/op,measureImputeMissingTraining, hex.pca,1905593.620,1,5,1
31,"Average time, time/op",PCAImputeMissingTrainingBench,1.0, hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining, (PCAImplementation = JAMA),2,measured,ns/op,measureImputeMissingTraining, hex.pca,2514456.824,1,5,1
