,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",1,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,839845.261,1,5,1
1,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",2,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,363187.526,1,5,1
2,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",3,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,237393.284,1,5,1
3,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",4,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,229479.672,1,5,1
4,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",5,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,197350.130,1,5,1
5,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",6,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,399837.086,1,5,1
6,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",7,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,377037.000,1,5,1
7,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",8,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,167623.782,1,5,1
8,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",9,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,196760.878,1,5,1
9,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",10,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,161406.278,1,5,1
10,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",11,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,159234.734,1,5,1
11,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",12,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,139425.725,1,5,1
12,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",13,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,159822.639,1,5,1
13,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",14,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,148707.328,1,5,1
14,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",15,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,148601.897,1,5,1
15,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",16,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,138325.257,1,5,1
16,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",17,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,134400.936,1,5,1
17,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",18,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,131549.629,1,5,1
18,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",19,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,132005.708,1,5,1
19,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",20,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,133230.166,1,5,1
20,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",21,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,130436.700,1,5,1
21,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",22,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,135801.037,1,5,1
22,"Average time, time/op",PCAWideDataSetsScoringBench,1.0, hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase," (PCAImplementation = JAMA, dataSetCase = 1)",23,warmup,ns/op,measureWideDataSetsBenchScoringCase, hex.pca,133131.455,1,5,1
