,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),1,warmup,ns/op,measureGbmScore0, hex.tree.gbm,6634725.000,1,5,1
1,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),2,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5445141.717,1,5,1
2,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),3,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5574961.324,1,5,1
3,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),4,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5180068.469,1,5,1
4,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),5,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5193355.443,1,5,1
5,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),6,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4833213.487,1,5,1
6,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),7,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4369407.170,1,5,1
7,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),8,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4362363.273,1,5,1
8,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),9,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5317404.885,1,5,1
9,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),10,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5510049.509,1,5,1
10,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),11,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4796907.527,1,5,1
11,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),12,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4360283.693,1,5,1
12,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),13,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4782588.515,1,5,1
13,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),14,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4366418.022,1,5,1
14,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),15,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4353997.086,1,5,1
15,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),16,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4720249.625,1,5,1
16,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),17,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5482982.673,1,5,1
17,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),18,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5429132.465,1,5,1
18,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),19,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4630828.331,1,5,1
19,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),20,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4475641.775,1,5,1
20,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),21,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4474319.181,1,5,1
21,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),22,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4559081.596,1,5,1
22,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),23,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5764694.982,1,5,1
23,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),24,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4768634.326,1,5,1
24,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),25,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4783024.659,1,5,1
25,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),26,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4477920.254,1,5,1
26,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),27,warmup,ns/op,measureGbmScore0, hex.tree.gbm,4609294.180,1,5,1
27,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),28,warmup,ns/op,measureGbmScore0, hex.tree.gbm,6200789.680,1,5,1
28,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),29,warmup,ns/op,measureGbmScore0, hex.tree.gbm,6460898.656,1,5,1
29,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),30,warmup,ns/op,measureGbmScore0, hex.tree.gbm,5710891.476,1,5,1
30,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),1,measured,ns/op,measureGbmScore0, hex.tree.gbm,6084149.541,1,5,1
31,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),2,measured,ns/op,measureGbmScore0, hex.tree.gbm,4477520.087,1,5,1
32,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),3,measured,ns/op,measureGbmScore0, hex.tree.gbm,4480178.174,1,5,1
33,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),4,measured,ns/op,measureGbmScore0, hex.tree.gbm,4479211.442,1,5,1
34,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),5,measured,ns/op,measureGbmScore0, hex.tree.gbm,4477681.152,1,5,1
35,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),6,measured,ns/op,measureGbmScore0, hex.tree.gbm,4477937.225,1,5,1
36,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),7,measured,ns/op,measureGbmScore0, hex.tree.gbm,4481077.812,1,5,1
37,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),8,measured,ns/op,measureGbmScore0, hex.tree.gbm,4517560.763,1,5,1
38,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),9,measured,ns/op,measureGbmScore0, hex.tree.gbm,4478045.775,1,5,1
39,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),10,measured,ns/op,measureGbmScore0, hex.tree.gbm,4653148.522,1,5,1
40,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),11,measured,ns/op,measureGbmScore0, hex.tree.gbm,6174593.000,1,5,1
41,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),12,measured,ns/op,measureGbmScore0, hex.tree.gbm,4519754.591,1,5,1
42,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),13,measured,ns/op,measureGbmScore0, hex.tree.gbm,4475376.319,1,5,1
43,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),14,measured,ns/op,measureGbmScore0, hex.tree.gbm,4472984.710,1,5,1
44,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),15,measured,ns/op,measureGbmScore0, hex.tree.gbm,5429519.779,1,5,1
45,"Average time, time/op",GbmMojoScoringBench,1.0, hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0, (rows = 1000),16,measured,ns/op,measureGbmScore0, hex.tree.gbm,4544194.423,1,5,1
