# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

# Run progress: 0.00% complete, ETA 00:33:20
# Fork: 1 of 10
# Warmup Iteration   1: 18640268.735 ops/s
# Warmup Iteration   2: 20490065.271 ops/s
# Warmup Iteration   3: 15516954.769 ops/s
# Warmup Iteration   4: 19392846.237 ops/s
# Warmup Iteration   5: 14916855.543 ops/s
# Warmup Iteration   6: 18949057.222 ops/s
# Warmup Iteration   7: 15036610.341 ops/s
# Warmup Iteration   8: 17951533.627 ops/s
# Warmup Iteration   9: 14873128.821 ops/s
# Warmup Iteration  10: 18964310.717 ops/s
# Warmup Iteration  11: 16066767.655 ops/s
# Warmup Iteration  12: 19303496.355 ops/s
# Warmup Iteration  13: 19793326.149 ops/s
# Warmup Iteration  14: 19385459.132 ops/s
# Warmup Iteration  15: 16738491.105 ops/s
# Warmup Iteration  16: 19986269.076 ops/s
# Warmup Iteration  17: 17817320.763 ops/s
# Warmup Iteration  18: 18289442.512 ops/s
# Warmup Iteration  19: 19335118.962 ops/s
# Warmup Iteration  20: 19412380.355 ops/s
Iteration   1: 14850043.718 ops/s
Iteration   2: 18906937.568 ops/s
Iteration   3: 20982916.049 ops/s
Iteration   4: 21051380.851 ops/s
Iteration   5: 21021342.133 ops/s
Iteration   6: 21047682.438 ops/s
Iteration   7: 14898825.640 ops/s
Iteration   8: 17890098.004 ops/s
Iteration   9: 18753526.271 ops/s
Iteration  10: 21048806.037 ops/s
Iteration  11: 14876680.288 ops/s
Iteration  12: 19407839.111 ops/s
Iteration  13: 19808739.571 ops/s
Iteration  14: 18745445.379 ops/s
Iteration  15: 20866977.569 ops/s
Iteration  16: 20145598.645 ops/s
Iteration  17: 14468233.701 ops/s
Iteration  18: 19707890.794 ops/s
Iteration  19: 21137471.731 ops/s
Iteration  20: 19859039.462 ops/s

# Run progress: 2.00% complete, ETA 00:33:02
# Fork: 2 of 10
# Warmup Iteration   1: 18459750.201 ops/s
# Warmup Iteration   2: 20396582.610 ops/s
# Warmup Iteration   3: 21127230.130 ops/s
# Warmup Iteration   4: 19520982.360 ops/s
# Warmup Iteration   5: 19280265.270 ops/s
# Warmup Iteration   6: 21049399.935 ops/s
# Warmup Iteration   7: 19495878.229 ops/s
# Warmup Iteration   8: 19464079.411 ops/s
# Warmup Iteration   9: 19485765.120 ops/s
# Warmup Iteration  10: 19023015.570 ops/s
# Warmup Iteration  11: 19787541.424 ops/s
# Warmup Iteration  12: 19440505.455 ops/s
# Warmup Iteration  13: 21149475.503 ops/s
# Warmup Iteration  14: 21125246.405 ops/s
# Warmup Iteration  15: 19788093.465 ops/s
# Warmup Iteration  16: 19452032.047 ops/s
# Warmup Iteration  17: 19893272.030 ops/s
# Warmup Iteration  18: 19504294.559 ops/s
# Warmup Iteration  19: 19717444.073 ops/s
# Warmup Iteration  20: 19273479.557 ops/s
Iteration   1: 19747114.597 ops/s
Iteration   2: 19279803.858 ops/s
Iteration   3: 18072524.659 ops/s
Iteration   4: 17750514.959 ops/s
Iteration   5: 17732460.330 ops/s
Iteration   6: 19090391.523 ops/s
Iteration   7: 19661395.193 ops/s
Iteration   8: 19907159.072 ops/s
Iteration   9: 20873787.712 ops/s
Iteration  10: 21085721.748 ops/s
Iteration  11: 19878190.235 ops/s
Iteration  12: 19179683.415 ops/s
Iteration  13: 21189771.155 ops/s
Iteration  14: 21193606.336 ops/s
Iteration  15: 19891601.138 ops/s
Iteration  16: 17733481.324 ops/s
Iteration  17: 19374665.787 ops/s
Iteration  18: 21012145.918 ops/s
Iteration  19: 20970579.515 ops/s
Iteration  20: 20966688.021 ops/s

# Run progress: 4.00% complete, ETA 00:32:21
# Fork: 3 of 10
# Warmup Iteration   1: 17610214.125 ops/s
# Warmup Iteration   2: 19198287.360 ops/s
# Warmup Iteration   3: 20935755.387 ops/s
# Warmup Iteration   4: 18710752.072 ops/s
# Warmup Iteration   5: 19868972.164 ops/s
# Warmup Iteration   6: 20420209.087 ops/s
# Warmup Iteration   7: 18124949.595 ops/s
# Warmup Iteration   8: 16384132.493 ops/s
# Warmup Iteration   9: 19767113.537 ops/s
# Warmup Iteration  10: 19405289.499 ops/s
# Warmup Iteration  11: 19353030.752 ops/s
# Warmup Iteration  12: 18813204.645 ops/s
# Warmup Iteration  13: 17450103.530 ops/s
# Warmup Iteration  14: 20428858.858 ops/s
# Warmup Iteration  15: 17882208.746 ops/s
# Warmup Iteration  16: 20546230.935 ops/s
# Warmup Iteration  17: 21069968.115 ops/s
# Warmup Iteration  18: 21044946.455 ops/s
# Warmup Iteration  19: 21049158.975 ops/s
# Warmup Iteration  20: 21088394.237 ops/s
Iteration   1: 21047511.835 ops/s
Iteration   2: 19399602.145 ops/s
Iteration   3: 19390035.852 ops/s
Iteration   4: 21049863.350 ops/s
Iteration   5: 20948012.805 ops/s
Iteration   6: 21026732.046 ops/s
Iteration   7: 19901140.506 ops/s
Iteration   8: 21059571.882 ops/s
Iteration   9: 19789532.588 ops/s
Iteration  10: 20139022.286 ops/s
Iteration  11: 18652299.794 ops/s
Iteration  12: 19239767.134 ops/s
Iteration  13: 21081264.845 ops/s
Iteration  14: 21037294.446 ops/s
Iteration  15: 20979613.572 ops/s
Iteration  16: 21065192.421 ops/s
Iteration  17: 21070834.202 ops/s
Iteration  18: 21032063.267 ops/s
Iteration  19: 18446210.941 ops/s
Iteration  20: 19729164.960 ops/s

# Run progress: 6.00% complete, ETA 00:31:40
# Fork: 4 of 10
# Warmup Iteration   1: 17552369.297 ops/s
# Warmup Iteration   2: 18061099.338 ops/s
# Warmup Iteration   3: 21279794.095 ops/s
# Warmup Iteration   4: 20514670.560 ops/s
# Warmup Iteration   5: 20974629.124 ops/s
# Warmup Iteration   6: 16011382.923 ops/s
# Warmup Iteration   7: 20979122.647 ops/s
# Warmup Iteration   8: 17076488.683 ops/s
# Warmup Iteration   9: 21174087.262 ops/s
# Warmup Iteration  10: 19645824.917 ops/s
# Warmup Iteration  11: 16080385.462 ops/s
# Warmup Iteration  12: 14500979.383 ops/s
# Warmup Iteration  13: 21013403.637 ops/s
# Warmup Iteration  14: 16119447.808 ops/s
# Warmup Iteration  15: 18006436.006 ops/s
# Warmup Iteration  16: 14537468.765 ops/s
# Warmup Iteration  17: 19519307.732 ops/s
# Warmup Iteration  18: 15558005.641 ops/s
# Warmup Iteration  19: 18952709.892 ops/s
# Warmup Iteration  20: 13974966.346 ops/s
Iteration   1: 19204730.220 ops/s
Iteration   2: 21266029.564 ops/s
Iteration   3: 15096753.301 ops/s
Iteration   4: 13812600.628 ops/s
Iteration   5: 21027004.459 ops/s
Iteration   6: 21284291.062 ops/s
Iteration   7: 21281602.270 ops/s
