# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 4881.365 ops/ms
# Warmup Iteration   2: 6556.257 ops/ms
# Warmup Iteration   3: 7067.982 ops/ms
# Warmup Iteration   4: 7817.109 ops/ms
# Warmup Iteration   5: 7833.117 ops/ms
# Warmup Iteration   6: 7867.418 ops/ms
# Warmup Iteration   7: 7871.611 ops/ms
# Warmup Iteration   8: 7487.182 ops/ms
# Warmup Iteration   9: 7345.330 ops/ms
# Warmup Iteration  10: 7868.693 ops/ms
# Warmup Iteration  11: 7874.473 ops/ms
# Warmup Iteration  12: 7867.245 ops/ms
# Warmup Iteration  13: 7867.677 ops/ms
# Warmup Iteration  14: 7873.256 ops/ms
# Warmup Iteration  15: 7869.248 ops/ms
# Warmup Iteration  16: 7859.312 ops/ms
# Warmup Iteration  17: 7872.736 ops/ms
# Warmup Iteration  18: 7871.464 ops/ms
# Warmup Iteration  19: 7882.094 ops/ms
# Warmup Iteration  20: 7869.933 ops/ms
Iteration   1: 7885.861 ops/ms
Iteration   2: 7868.098 ops/ms
Iteration   3: 7869.321 ops/ms
Iteration   4: 7872.730 ops/ms
Iteration   5: 7865.919 ops/ms
Iteration   6: 7877.898 ops/ms
Iteration   7: 7870.423 ops/ms
Iteration   8: 7867.439 ops/ms
Iteration   9: 7879.202 ops/ms
Iteration  10: 7528.468 ops/ms
Iteration  11: 7029.507 ops/ms
Iteration  12: 7866.502 ops/ms
Iteration  13: 7883.624 ops/ms
Iteration  14: 7861.461 ops/ms
Iteration  15: 7873.675 ops/ms
Iteration  16: 7864.196 ops/ms
Iteration  17: 7866.391 ops/ms
Iteration  18: 7872.048 ops/ms
Iteration  19: 7860.632 ops/ms
Iteration  20: 7870.346 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 4175.419 ops/ms
# Warmup Iteration   2: 7728.327 ops/ms
# Warmup Iteration   3: 7367.385 ops/ms
# Warmup Iteration   4: 7810.222 ops/ms
# Warmup Iteration   5: 6905.293 ops/ms
# Warmup Iteration   6: 7912.866 ops/ms
# Warmup Iteration   7: 7921.248 ops/ms
# Warmup Iteration   8: 7922.958 ops/ms
# Warmup Iteration   9: 7928.161 ops/ms
# Warmup Iteration  10: 7931.729 ops/ms
# Warmup Iteration  11: 7917.849 ops/ms
# Warmup Iteration  12: 7933.260 ops/ms
# Warmup Iteration  13: 7928.270 ops/ms
# Warmup Iteration  14: 7920.334 ops/ms
# Warmup Iteration  15: 7926.530 ops/ms
# Warmup Iteration  16: 7919.696 ops/ms
# Warmup Iteration  17: 7785.546 ops/ms
# Warmup Iteration  18: 7818.993 ops/ms
# Warmup Iteration  19: 7017.209 ops/ms
# Warmup Iteration  20: 7321.364 ops/ms
Iteration   1: 6864.051 ops/ms
Iteration   2: 7797.199 ops/ms
Iteration   3: 7780.027 ops/ms
Iteration   4: 7782.014 ops/ms
Iteration   5: 7794.389 ops/ms
Iteration   6: 7791.761 ops/ms
Iteration   7: 7816.682 ops/ms
Iteration   8: 7815.103 ops/ms
Iteration   9: 7801.226 ops/ms
Iteration  10: 7763.805 ops/ms
Iteration  11: 6951.220 ops/ms
Iteration  12: 7810.573 ops/ms
Iteration  13: 7812.620 ops/ms
Iteration  14: 7813.675 ops/ms
Iteration  15: 7818.297 ops/ms
Iteration  16: 7798.450 ops/ms
Iteration  17: 7813.913 ops/ms
Iteration  18: 7810.067 ops/ms
Iteration  19: 7798.381 ops/ms
Iteration  20: 7821.761 ops/ms

# Run progress: 20.00% complete, ETA 00:05:23
# Fork: 3 of 10
# Warmup Iteration   1: 5422.337 ops/ms
# Warmup Iteration   2: 7555.980 ops/ms
# Warmup Iteration   3: 7093.188 ops/ms
# Warmup Iteration   4: 7237.761 ops/ms
# Warmup Iteration   5: 7900.930 ops/ms
# Warmup Iteration   6: 7927.683 ops/ms
# Warmup Iteration   7: 7916.993 ops/ms
# Warmup Iteration   8: 7925.719 ops/ms
# Warmup Iteration   9: 7915.909 ops/ms
# Warmup Iteration  10: 7918.080 ops/ms
# Warmup Iteration  11: 7930.372 ops/ms
# Warmup Iteration  12: 7910.023 ops/ms
# Warmup Iteration  13: 7920.170 ops/ms
# Warmup Iteration  14: 7929.517 ops/ms
# Warmup Iteration  15: 7914.977 ops/ms
# Warmup Iteration  16: 7917.339 ops/ms
# Warmup Iteration  17: 7853.149 ops/ms
# Warmup Iteration  18: 7289.218 ops/ms
# Warmup Iteration  19: 7922.474 ops/ms
# Warmup Iteration  20: 7924.855 ops/ms
Iteration   1: 7933.565 ops/ms
Iteration   2: 7862.210 ops/ms
Iteration   3: 7925.454 ops/ms
Iteration   4: 7925.492 ops/ms
Iteration   5: 7924.215 ops/ms
Iteration   6: 7930.052 ops/ms
Iteration   7: 7923.409 ops/ms
Iteration   8: 7921.295 ops/ms
Iteration   9: 7928.908 ops/ms
Iteration  10: 7922.414 ops/ms
Iteration  11: 7919.675 ops/ms
Iteration  12: 7931.596 ops/ms
Iteration  13: 7918.912 ops/ms
Iteration  14: 7922.121 ops/ms
Iteration  15: 7928.963 ops/ms
Iteration  16: 7919.689 ops/ms
Iteration  17: 7931.451 ops/ms
Iteration  18: 7924.583 ops/ms
Iteration  19: 7921.807 ops/ms
Iteration  20: 7109.207 ops/ms

# Run progress: 30.00% complete, ETA 00:04:43
# Fork: 4 of 10
# Warmup Iteration   1: 3720.724 ops/ms
# Warmup Iteration   2: 7149.984 ops/ms
# Warmup Iteration   3: 7635.528 ops/ms
# Warmup Iteration   4: 6733.060 ops/ms
# Warmup Iteration   5: 7006.766 ops/ms
# Warmup Iteration   6: 7949.543 ops/ms
# Warmup Iteration   7: 7970.686 ops/ms
# Warmup Iteration   8: 7984.971 ops/ms
# Warmup Iteration   9: 7971.708 ops/ms
# Warmup Iteration  10: 7974.020 ops/ms
# Warmup Iteration  11: 7978.690 ops/ms
# Warmup Iteration  12: 7972.686 ops/ms
# Warmup Iteration  13: 7983.629 ops/ms
# Warmup Iteration  14: 7965.154 ops/ms
# Warmup Iteration  15: 7967.353 ops/ms
# Warmup Iteration  16: 7010.645 ops/ms
# Warmup Iteration  17: 7961.461 ops/ms
