# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 3896.963 ops/ms
# Warmup Iteration   2: 7676.632 ops/ms
# Warmup Iteration   3: 7722.287 ops/ms
# Warmup Iteration   4: 7666.471 ops/ms
# Warmup Iteration   5: 7765.133 ops/ms
# Warmup Iteration   6: 7814.404 ops/ms
# Warmup Iteration   7: 7813.239 ops/ms
# Warmup Iteration   8: 7824.666 ops/ms
# Warmup Iteration   9: 7814.952 ops/ms
# Warmup Iteration  10: 7822.464 ops/ms
# Warmup Iteration  11: 7815.069 ops/ms
# Warmup Iteration  12: 7821.368 ops/ms
# Warmup Iteration  13: 7811.606 ops/ms
# Warmup Iteration  14: 7810.787 ops/ms
# Warmup Iteration  15: 7824.854 ops/ms
# Warmup Iteration  16: 7818.978 ops/ms
# Warmup Iteration  17: 7852.604 ops/ms
# Warmup Iteration  18: 7838.097 ops/ms
# Warmup Iteration  19: 7841.680 ops/ms
# Warmup Iteration  20: 7848.034 ops/ms
Iteration   1: 7846.103 ops/ms
Iteration   2: 7849.659 ops/ms
Iteration   3: 7839.274 ops/ms
Iteration   4: 7839.149 ops/ms
Iteration   5: 7847.656 ops/ms
Iteration   6: 7841.770 ops/ms
Iteration   7: 7845.630 ops/ms
Iteration   8: 7837.355 ops/ms
Iteration   9: 7863.346 ops/ms
Iteration  10: 7834.671 ops/ms
Iteration  11: 7828.274 ops/ms
Iteration  12: 7839.002 ops/ms
Iteration  13: 7826.497 ops/ms
Iteration  14: 7846.994 ops/ms
Iteration  15: 7839.519 ops/ms
Iteration  16: 7830.429 ops/ms
Iteration  17: 7848.402 ops/ms
Iteration  18: 7837.229 ops/ms
Iteration  19: 7837.052 ops/ms
Iteration  20: 7828.980 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 5643.133 ops/ms
# Warmup Iteration   2: 7823.644 ops/ms
# Warmup Iteration   3: 7804.628 ops/ms
# Warmup Iteration   4: 7789.062 ops/ms
# Warmup Iteration   5: 7804.460 ops/ms
# Warmup Iteration   6: 7815.881 ops/ms
# Warmup Iteration   7: 7809.269 ops/ms
# Warmup Iteration   8: 7176.699 ops/ms
# Warmup Iteration   9: 7824.277 ops/ms
# Warmup Iteration  10: 7816.706 ops/ms
# Warmup Iteration  11: 7813.434 ops/ms
# Warmup Iteration  12: 7822.888 ops/ms
# Warmup Iteration  13: 7816.071 ops/ms
# Warmup Iteration  14: 7820.066 ops/ms
# Warmup Iteration  15: 7813.916 ops/ms
# Warmup Iteration  16: 7819.384 ops/ms
