# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 2036.588 ops/ms
# Warmup Iteration   2: 2807.719 ops/ms
# Warmup Iteration   3: 3047.453 ops/ms
# Warmup Iteration   4: 2896.990 ops/ms
# Warmup Iteration   5: 3116.234 ops/ms
# Warmup Iteration   6: 3112.352 ops/ms
# Warmup Iteration   7: 3109.342 ops/ms
# Warmup Iteration   8: 3110.268 ops/ms
# Warmup Iteration   9: 3110.573 ops/ms
# Warmup Iteration  10: 3104.827 ops/ms
# Warmup Iteration  11: 3110.777 ops/ms
# Warmup Iteration  12: 3110.566 ops/ms
# Warmup Iteration  13: 3111.021 ops/ms
# Warmup Iteration  14: 3106.842 ops/ms
# Warmup Iteration  15: 3111.236 ops/ms
# Warmup Iteration  16: 3110.051 ops/ms
# Warmup Iteration  17: 3108.525 ops/ms
# Warmup Iteration  18: 3105.595 ops/ms
# Warmup Iteration  19: 3111.272 ops/ms
# Warmup Iteration  20: 3108.522 ops/ms
Iteration   1: 3109.253 ops/ms
Iteration   2: 3105.114 ops/ms
Iteration   3: 3110.310 ops/ms
Iteration   4: 3110.180 ops/ms
Iteration   5: 3109.229 ops/ms
Iteration   6: 3112.072 ops/ms
Iteration   7: 3112.804 ops/ms
Iteration   8: 2988.198 ops/ms
Iteration   9: 2944.200 ops/ms
Iteration  10: 2974.373 ops/ms
Iteration  11: 2979.334 ops/ms
Iteration  12: 3107.710 ops/ms
Iteration  13: 3109.098 ops/ms
Iteration  14: 3108.379 ops/ms
Iteration  15: 3109.511 ops/ms
Iteration  16: 3108.519 ops/ms
Iteration  17: 3111.079 ops/ms
Iteration  18: 3111.594 ops/ms
Iteration  19: 3107.966 ops/ms
Iteration  20: 3109.504 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 1173.782 ops/ms
# Warmup Iteration   2: 1225.668 ops/ms
# Warmup Iteration   3: 1232.688 ops/ms
# Warmup Iteration   4: 1232.542 ops/ms
# Warmup Iteration   5: 1193.833 ops/ms
# Warmup Iteration   6: 1232.618 ops/ms
# Warmup Iteration   7: 1235.787 ops/ms
# Warmup Iteration   8: 1236.705 ops/ms
# Warmup Iteration   9: 1234.151 ops/ms
# Warmup Iteration  10: 1229.330 ops/ms
# Warmup Iteration  11: 1236.330 ops/ms
# Warmup Iteration  12: 1234.986 ops/ms
# Warmup Iteration  13: 1231.032 ops/ms
# Warmup Iteration  14: 1234.402 ops/ms
# Warmup Iteration  15: 1234.933 ops/ms
# Warmup Iteration  16: 1237.562 ops/ms
# Warmup Iteration  17: 1217.419 ops/ms
# Warmup Iteration  18: 1219.370 ops/ms
# Warmup Iteration  19: 1218.228 ops/ms
# Warmup Iteration  20: 1218.761 ops/ms
Iteration   1: 1220.209 ops/ms
Iteration   2: 1219.409 ops/ms
Iteration   3: 1218.559 ops/ms
Iteration   4: 1220.010 ops/ms
Iteration   5: 1220.514 ops/ms
Iteration   6: 1221.870 ops/ms
Iteration   7: 1219.662 ops/ms
Iteration   8: 1219.406 ops/ms
Iteration   9: 1219.557 ops/ms
Iteration  10: 1211.512 ops/ms
Iteration  11: 1219.941 ops/ms
Iteration  12: 1217.737 ops/ms
Iteration  13: 1205.602 ops/ms
Iteration  14: 1122.361 ops/ms
Iteration  15: 1218.229 ops/ms
Iteration  16: 1219.733 ops/ms
Iteration  17: 1218.134 ops/ms
Iteration  18: 1219.940 ops/ms
Iteration  19: 1218.408 ops/ms
Iteration  20: 1219.009 ops/ms

# Run progress: 20.00% complete, ETA 00:05:23
# Fork: 3 of 10
# Warmup Iteration   1: 1193.591 ops/ms
# Warmup Iteration   2: 1214.294 ops/ms
# Warmup Iteration   3: 1222.044 ops/ms
# Warmup Iteration   4: 1222.489 ops/ms
# Warmup Iteration   5: 1090.458 ops/ms
# Warmup Iteration   6: 1080.977 ops/ms
# Warmup Iteration   7: 1223.168 ops/ms
# Warmup Iteration   8: 1225.911 ops/ms
# Warmup Iteration   9: 1226.972 ops/ms
# Warmup Iteration  10: 1222.207 ops/ms
# Warmup Iteration  11: 1226.683 ops/ms
# Warmup Iteration  12: 1225.474 ops/ms
# Warmup Iteration  13: 1070.988 ops/ms
# Warmup Iteration  14: 1111.807 ops/ms
# Warmup Iteration  15: 1226.729 ops/ms
# Warmup Iteration  16: 1225.590 ops/ms
# Warmup Iteration  17: 1208.823 ops/ms
# Warmup Iteration  18: 1208.986 ops/ms
# Warmup Iteration  19: 1208.683 ops/ms
# Warmup Iteration  20: 1209.336 ops/ms
Iteration   1: 1208.023 ops/ms
Iteration   2: 1207.244 ops/ms
Iteration   3: 1209.996 ops/ms
Iteration   4: 1118.805 ops/ms
Iteration   5: 1083.534 ops/ms
Iteration   6: 1208.941 ops/ms
Iteration   7: 1207.030 ops/ms
Iteration   8: 1207.416 ops/ms
Iteration   9: 1111.926 ops/ms
Iteration  10: 1206.201 ops/ms
Iteration  11: 1085.369 ops/ms
Iteration  12: 1208.781 ops/ms
Iteration  13: 1031.481 ops/ms
Iteration  14: 1189.326 ops/ms
Iteration  15: 1119.661 ops/ms
Iteration  16: 1200.436 ops/ms
Iteration  17: 1115.621 ops/ms
Iteration  18: 1193.991 ops/ms
Iteration  19: 1206.912 ops/ms
Iteration  20: 1209.186 ops/ms

# Run progress: 30.00% complete, ETA 00:04:43
# Fork: 4 of 10
# Warmup Iteration   1: 1270.582 ops/ms
# Warmup Iteration   2: 1221.859 ops/ms
