Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = EIGHT),0,193.892,180.09400000000002,0.9288366719617108,True,large,0.9615449485579356
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = ELEVEN),0,260.022,246.579,0.9483005284168263,True,large,0.8485144320212198
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = FIVE),0,125.48100000000001,112.57,0.8971079286903992,True,large,0.8001267541874151
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = SIX),0,146.19299999999998,131.928,0.902423508649525,True,large,0.8851910855902383
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = THIRTY),0,687.3839999999999,673.877,0.9803501390780118,True,large,0.815358544088121
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = THREE),0,85.249,71.445,0.8380743469131602,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = TWENTYTWO),0,515.8355,505.5905,0.9801390171866806,True,medium,0.38252168567720785
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = EIGHT),0,148.572,140.8265,0.9478670274345099,True,large,0.4914164657754401
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = ELEVEN),0,198.451,189.703,0.9559185894754877,True,large,0.6041385830080006
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = FIVE),0,102.02799999999999,90.569,0.887687693574313,True,large,0.769425457550662
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = SIX),0,117.77,107.70100000000001,0.9145028445274689,True,large,0.6703533467394427
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = THIRTY),0,491.925,495.399,1.0070620521420948,True,large,-0.5179365863992655
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = THREE),0,70.697,60.676,0.858254239925315,True,large,0.943119232256995
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = TWENTYTWO),0,369.475,369.272,0.999450571757223,True,negligible,-0.08166426320568285
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = EIGHT),0,217.849,206.476,0.9477941142718121,True,large,0.8622616699539777
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = ELEVEN),0,288.267,275.185,0.9546184613570059,True,large,0.909895880488909
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = FIVE),0,139.195,126.61399999999999,0.9096160063220662,True,large,0.9202018662466764
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = SIX),0,162.671,151.70600000000002,0.93259400876616,True,large,0.8839976762054684
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = THIRTY),0,771.3689999999999,752.32,0.975304944844815,True,large,0.7075766945896816
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = THREE),0,94.11200000000001,82.4335,0.8759084920095205,True,large,0.9723629489603025
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = TWENTYTWO),0,576.217,563.2705,0.977531902043848,True,large,0.5283987142961502
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = EIGHT),0,79.02,71.9,0.9098962288028348,True,large,0.8598865784499055
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = ELEVEN),0,108.2555,103.5545,0.9565749546212433,True,large,0.8101838552140189
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = FIVE),0,58.048,46.808,0.806367144432194,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = SIX),0,62.458,51.086000000000006,0.8179256460341351,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = THIRTY),0,343.3125,376.93699999999995,1.0979413799381028,True,large,-0.6253950014363688
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = THREE),0,40.204,25.861,0.64324445328823,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = TWENTYTWO),0,229.09,219.3585,0.9575210615915142,True,large,0.47553138902619874
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = EIGHT),0,48.115,36.422,0.7569780733658941,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = ELEVEN),0,58.809,48.82299999999999,0.8301960584264313,True,large,0.9995833333333334
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = FIVE),0,37.803,23.310500000000005,0.6166309552151947,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = SIX),0,41.05,27.638,0.6732764920828259,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = THIRTY),0,124.9,132.265,1.058967173738991,True,large,-0.7724723601986861
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = THREE),0,30.405,14.51,0.4772241407663213,True,large,1.0
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = TWENTYTWO),0,96.708,97.194,1.0050254373991812,True,medium,-0.40648756431483557
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = EIGHT),0,152.82999999999998,147.282,0.9636982267879345,True,negligible,0.04200542005420054
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = ELEVEN),0,198.426,180.9515,0.9119344239162208,False,small,0.22302083333333333
